admission_number,date,status,remarks
STU20240001,15-06-2024,ABSENT,
STU20240002,15-06-2024,PRESENT,
STU20240003,15-06-2024,PRESENT,
STU20240004,15-06-2024,PRESENT,
STU20240005,15-06-2024,PRESENT,
STU20240006,15-06-2024,PRESENT,
STU20240007,15-06-2024,PRESENT,
STU20240008,15-06-2024,ABSENT,
STU20240009,15-06-2024,PRESENT,
STU20240010,15-06-2024,PRESENT,
STU20240011,15-06-2024,PRESENT,
STU20240012,15-06-2024,PRESENT,
STU20240013,15-06-2024,PRESENT,
STU20240014,15-06-2024,PRESENT,
STU20240015,15-06-2024,ABSENT,
STU20240016,15-06-2024,PRESENT,
STU20240017,15-06-2024,PRESENT,
STU20240018,15-06-2024,PRESENT,
STU20240019,15-06-2024,PRESENT,
STU20240020,15-06-2024,PRESENT,
STU20240021,15-06-2024,PRESENT,
STU20240022,15-06-2024,ABSENT,
STU20240023,15-06-2024,PRESENT,
STU20240024,15-06-2024,PRESENT,
STU20240025,15-06-2024,PRESENT,
STU20240026,15-06-2024,PRESENT,
STU20240027,15-06-2024,PRESENT,
STU20240028,15-06-2024,PRESENT,
STU20240029,15-06-2024,ABSENT,
STU20240030,15-06-2024,PRESENT,
STU20240031,15-06-2024,PRESENT,
STU20240032,15-06-2024,PRESENT,
STU20240033,15-06-2024,PRESENT,
STU20240034,15-06-2024,PRESENT,
STU20240035,15-06-2024,PRESENT,
STU20240036,15-06-2024,ABSENT,
STU20240037,15-06-2024,PRESENT,
STU20240038,15-06-2024,PRESENT,
STU20240039,15-06-2024,PRESENT,
STU20240040,15-06-2024,PRESENT,
STU20240041,15-06-2024,PRESENT,
STU20240042,15-06-2024,PRESENT,
STU20240043,15-06-2024,ABSENT,
STU20240044,15-06-2024,PRESENT,
STU20240045,15-06-2024,PRESENT,
STU20240046,15-06-2024,PRESENT,
STU20240047,15-06-2024,PRESENT,
STU20240048,15-06-2024,PRESENT,
STU20240049,15-06-2024,PRESENT,
STU20240050,15-06-2024,ABSENT,
STU20240051,15-06-2024,PRESENT,
STU20240052,15-06-2024,PRESENT,
STU20240053,15-06-2024,PRESENT,
STU20240054,15-06-2024,PRESENT,
STU20240055,15-06-2024,PRESENT,
STU20240056,15-06-2024,PRESENT,
STU20240057,15-06-2024,ABSENT,
STU20240058,15-06-2024,PRESENT,
STU20240059,15-06-2024,PRESENT,
STU20240060,15-06-2024,PRESENT,
STU20240061,15-06-2024,PRESENT,
STU20240062,15-06-2024,PRESENT,
STU20240063,15-06-2024,PRESENT,
STU20240064,15-06-2024,ABSENT,
STU20240065,15-06-2024,PRESENT,
STU20240066,15-06-2024,PRESENT,
STU20240067,15-06-2024,PRESENT,
STU20240068,15-06-2024,PRESENT,
STU20240069,15-06-2024,PRESENT,
STU20240070,15-06-2024,PRESENT,
STU20240071,15-06-2024,ABSENT,
STU20240072,15-06-2024,PRESENT,
STU20240073,15-06-2024,PRESENT,
STU20240074,15-06-2024,PRESENT,
STU20240075,15-06-2024,PRESENT,
STU20240076,15-06-2024,PRESENT,
STU20240077,15-06-2024,PRESENT,
STU20240078,15-06-2024,ABSENT,
STU20240079,15-06-2024,PRESENT,
STU20240080,15-06-2024,PRESENT,
STU20240081,15-06-2024,PRESENT,
STU20240082,15-06-2024,PRESENT,
STU20240083,15-06-2024,PRESENT,
STU20240084,15-06-2024,PRESENT,
STU20240085,15-06-2024,ABSENT,
STU20240086,15-06-2024,PRESENT,
STU20240087,15-06-2024,PRESENT,
STU20240088,15-06-2024,PRESENT,
STU20240089,15-06-2024,PRESENT,
STU20240090,15-06-2024,PRESENT,
STU20240091,15-06-2024,PRESENT,
STU20240092,15-06-2024,ABSENT,
