class_name,section_name,room_number,capacity,academic_year
Grade 1,A,100,30,2024-25
Grade 2,B,101,31,2024-25
Grade 3,C,102,32,2024-25
Grade 4,D,103,33,2024-25
Grade 5,E,104,34,2024-25
Grade 6,F,105,35,2024-25
Grade 7,A,106,36,2024-25
Grade 8,B,107,37,2024-25
Grade 9,C,108,38,2024-25
Grade 10,D,109,39,2024-25
Grade 11,E,110,40,2024-25
Grade 12,F,111,41,2024-25
Grade 1,A,112,42,2024-25
Grade 2,B,113,43,2024-25
Grade 3,C,114,44,2024-25
Grade 4,D,115,45,2024-25
Grade 5,E,116,46,2024-25
Grade 6,F,117,47,2024-25
Grade 7,A,118,48,2024-25
Grade 8,B,119,49,2024-25
Grade 9,C,120,30,2024-25
Grade 10,D,121,31,2024-25
Grade 11,E,122,32,2024-25
Grade 12,F,123,33,2024-25
Grade 1,A,124,34,2024-25
Grade 2,B,125,35,2024-25
Grade 3,C,126,36,2024-25
Grade 4,D,127,37,2024-25
Grade 5,E,128,38,2024-25
Grade 6,F,129,39,2024-25
Grade 7,A,130,40,2024-25
Grade 8,B,131,41,2024-25
Grade 9,C,132,42,2024-25
Grade 10,D,133,43,2024-25
Grade 11,E,134,44,2024-25
Grade 12,F,135,45,2024-25
Grade 1,A,136,46,2024-25
Grade 2,B,137,47,2024-25
Grade 3,C,138,48,2024-25
Grade 4,D,139,49,2024-25
Grade 5,E,140,30,2024-25
Grade 6,F,141,31,2024-25
Grade 7,A,142,32,2024-25
Grade 8,B,143,33,2024-25
Grade 9,C,144,34,2024-25
Grade 10,D,145,35,2024-25
Grade 11,E,146,36,2024-25
Grade 12,F,147,37,2024-25
Grade 1,A,148,38,2024-25
Grade 2,B,149,39,2024-25
Grade 3,C,100,40,2024-25
Grade 4,D,101,41,2024-25
Grade 5,E,102,42,2024-25
Grade 6,F,103,43,2024-25
Grade 7,A,104,44,2024-25
Grade 8,B,105,45,2024-25
Grade 9,C,106,46,2024-25
Grade 10,D,107,47,2024-25
Grade 11,E,108,48,2024-25
Grade 12,F,109,49,2024-25
Grade 1,A,110,30,2024-25
Grade 2,B,111,31,2024-25
Grade 3,C,112,32,2024-25
Grade 4,D,113,33,2024-25
Grade 5,E,114,34,2024-25
Grade 6,F,115,35,2024-25
Grade 7,A,116,36,2024-25
Grade 8,B,117,37,2024-25
Grade 9,C,118,38,2024-25
Grade 10,D,119,39,2024-25
Grade 11,E,120,40,2024-25
Grade 12,F,121,41,2024-25
Grade 1,A,122,42,2024-25
Grade 2,B,123,43,2024-25
Grade 3,C,124,44,2024-25
Grade 4,D,125,45,2024-25
Grade 5,E,126,46,2024-25
Grade 6,F,127,47,2024-25
Grade 7,A,128,48,2024-25
Grade 8,B,129,49,2024-25
Grade 9,C,130,30,2024-25
Grade 10,D,131,31,2024-25
Grade 11,E,132,32,2024-25
Grade 12,F,133,33,2024-25
Grade 1,A,134,34,2024-25
Grade 2,B,135,35,2024-25
Grade 3,C,136,36,2024-25
Grade 4,D,137,37,2024-25
Grade 5,E,138,38,2024-25
Grade 6,F,139,39,2024-25
Grade 7,A,140,40,2024-25
Grade 8,B,141,41,2024-25
Grade 9,C,142,42,2024-25
Grade 10,D,143,43,2024-25
Grade 11,E,144,44,2024-25
Grade 12,F,145,45,2024-25
Grade 1,A,146,46,2024-25
Grade 2,B,147,47,2024-25
Grade 3,C,148,48,2024-25
Grade 4,D,149,49,2024-25
Grade 5,E,100,30,2024-25
Grade 6,F,101,31,2024-25
Grade 7,A,102,32,2024-25
Grade 8,B,103,33,2024-25
Grade 9,C,104,34,2024-25
Grade 10,D,105,35,2024-25
Grade 11,E,106,36,2024-25
Grade 12,F,107,37,2024-25
Grade 1,A,108,38,2024-25
Grade 2,B,109,39,2024-25
Grade 3,C,110,40,2024-25
Grade 4,D,111,41,2024-25
Grade 5,E,112,42,2024-25
Grade 6,F,113,43,2024-25
Grade 7,A,114,44,2024-25
Grade 8,B,115,45,2024-25
Grade 9,C,116,46,2024-25
Grade 10,D,117,47,2024-25
Grade 11,E,118,48,2024-25
Grade 12,F,119,49,2024-25
Grade 1,A,120,30,2024-25
Grade 2,B,121,31,2024-25
Grade 3,C,122,32,2024-25
Grade 4,D,123,33,2024-25
Grade 5,E,124,34,2024-25
Grade 6,F,125,35,2024-25
Grade 7,A,126,36,2024-25
Grade 8,B,127,37,2024-25
Grade 9,C,128,38,2024-25
Grade 10,D,129,39,2024-25
Grade 11,E,130,40,2024-25
Grade 12,F,131,41,2024-25
Grade 1,A,132,42,2024-25
Grade 2,B,133,43,2024-25
Grade 3,C,134,44,2024-25
Grade 4,D,135,45,2024-25
Grade 5,E,136,46,2024-25
Grade 6,F,137,47,2024-25
Grade 7,A,138,48,2024-25
Grade 8,B,139,49,2024-25
Grade 9,C,140,30,2024-25
Grade 10,D,141,31,2024-25
Grade 11,E,142,32,2024-25
Grade 12,F,143,33,2024-25
Grade 1,A,144,34,2024-25
Grade 2,B,145,35,2024-25
Grade 3,C,146,36,2024-25
Grade 4,D,147,37,2024-25
Grade 5,E,148,38,2024-25
Grade 6,F,149,39,2024-25
Grade 7,A,100,40,2024-25
Grade 8,B,101,41,2024-25
Grade 9,C,102,42,2024-25
Grade 10,D,103,43,2024-25
Grade 11,E,104,44,2024-25
Grade 12,F,105,45,2024-25
Grade 1,A,106,46,2024-25
Grade 2,B,107,47,2024-25
Grade 3,C,108,48,2024-25
Grade 4,D,109,49,2024-25
Grade 5,E,110,30,2024-25
Grade 6,F,111,31,2024-25
Grade 7,A,112,32,2024-25
Grade 8,B,113,33,2024-25
Grade 9,C,114,34,2024-25
Grade 10,D,115,35,2024-25
Grade 11,E,116,36,2024-25
Grade 12,F,117,37,2024-25
Grade 1,A,118,38,2024-25
Grade 2,B,119,39,2024-25
Grade 3,C,120,40,2024-25
Grade 4,D,121,41,2024-25
Grade 5,E,122,42,2024-25
Grade 6,F,123,43,2024-25
Grade 7,A,124,44,2024-25
Grade 8,B,125,45,2024-25
Grade 9,C,126,46,2024-25
Grade 10,D,127,47,2024-25
Grade 11,E,128,48,2024-25
Grade 12,F,129,49,2024-25
Grade 1,A,130,30,2024-25
Grade 2,B,131,31,2024-25
Grade 3,C,132,32,2024-25
Grade 4,D,133,33,2024-25
Grade 5,E,134,34,2024-25
Grade 6,F,135,35,2024-25
Grade 7,A,136,36,2024-25
Grade 8,B,137,37,2024-25
Grade 9,C,138,38,2024-25
Grade 10,D,139,39,2024-25
Grade 11,E,140,40,2024-25
Grade 12,F,141,41,2024-25
Grade 1,A,142,42,2024-25
Grade 2,B,143,43,2024-25
Grade 3,C,144,44,2024-25
Grade 4,D,145,45,2024-25
Grade 5,E,146,46,2024-25
Grade 6,F,147,47,2024-25
Grade 7,A,148,48,2024-25
Grade 8,B,149,49,2024-25
