admission_number,exam_name,subject_code,max_marks,marks_obtained,grade,exam_date,academic_year
STU20240001,Midterm,MATH10,100,50,C,10-09-2024,2024-25
STU20240002,Midterm,MATH10,100,51,C,10-09-2024,2024-25
STU20240003,Midterm,MATH10,100,52,C,10-09-2024,2024-25
STU20240004,Midterm,MATH10,100,53,C,10-09-2024,2024-25
STU20240005,Midterm,MATH10,100,54,C,10-09-2024,2024-25
STU20240006,Midterm,MATH10,100,55,C,10-09-2024,2024-25
STU20240007,Midterm,MATH10,100,56,C,10-09-2024,2024-25
STU20240008,Midterm,MATH10,100,57,C,10-09-2024,2024-25
STU20240009,Midterm,MATH10,100,58,C,10-09-2024,2024-25
STU20240010,Midterm,MATH10,100,59,C,10-09-2024,2024-25
STU20240011,Midterm,MATH10,100,60,B,10-09-2024,2024-25
STU20240012,Midterm,MATH10,100,61,B,10-09-2024,2024-25
STU20240013,Midterm,MATH10,100,62,B,10-09-2024,2024-25
STU20240014,Midterm,MATH10,100,63,B,10-09-2024,2024-25
STU20240015,Midterm,MATH10,100,64,B,10-09-2024,2024-25
STU20240016,Midterm,MATH10,100,65,B,10-09-2024,2024-25
STU20240017,Midterm,MATH10,100,66,B,10-09-2024,2024-25
STU20240018,Midterm,MATH10,100,67,B,10-09-2024,2024-25
STU20240019,Midterm,MATH10,100,68,B,10-09-2024,2024-25
STU20240020,Midterm,MATH10,100,69,B,10-09-2024,2024-25
STU20240021,Midterm,MATH10,100,70,B+,10-09-2024,2024-25
STU20240022,Midterm,MATH10,100,71,B+,10-09-2024,2024-25
STU20240023,Midterm,MATH10,100,72,B+,10-09-2024,2024-25
STU20240024,Midterm,MATH10,100,73,B+,10-09-2024,2024-25
STU20240025,Midterm,MATH10,100,74,B+,10-09-2024,2024-25
STU20240026,Midterm,MATH10,100,75,B+,10-09-2024,2024-25
STU20240027,Midterm,MATH10,100,76,B+,10-09-2024,2024-25
STU20240028,Midterm,MATH10,100,77,B+,10-09-2024,2024-25
STU20240029,Midterm,MATH10,100,78,B+,10-09-2024,2024-25
STU20240030,Midterm,MATH10,100,79,B+,10-09-2024,2024-25
STU20240031,Midterm,MATH10,100,80,A,10-09-2024,2024-25
STU20240032,Midterm,MATH10,100,81,A,10-09-2024,2024-25
STU20240033,Midterm,MATH10,100,82,A,10-09-2024,2024-25
STU20240034,Midterm,MATH10,100,83,A,10-09-2024,2024-25
STU20240035,Midterm,MATH10,100,84,A,10-09-2024,2024-25
STU20240036,Midterm,MATH10,100,85,A,10-09-2024,2024-25
STU20240037,Midterm,MATH10,100,86,A,10-09-2024,2024-25
STU20240038,Midterm,MATH10,100,87,A,10-09-2024,2024-25
STU20240039,Midterm,MATH10,100,88,A,10-09-2024,2024-25
STU20240040,Midterm,MATH10,100,89,A,10-09-2024,2024-25
STU20240041,Midterm,MATH10,100,90,A+,10-09-2024,2024-25
STU20240042,Midterm,MATH10,100,91,A+,10-09-2024,2024-25
STU20240043,Midterm,MATH10,100,92,A+,10-09-2024,2024-25
STU20240044,Midterm,MATH10,100,93,A+,10-09-2024,2024-25
STU20240045,Midterm,MATH10,100,94,A+,10-09-2024,2024-25
STU20240046,Midterm,MATH10,100,95,A+,10-09-2024,2024-25
STU20240047,Midterm,MATH10,100,96,A+,10-09-2024,2024-25
STU20240048,Midterm,MATH10,100,97,A+,10-09-2024,2024-25
STU20240049,Midterm,MATH10,100,98,A+,10-09-2024,2024-25
STU20240050,Midterm,MATH10,100,99,A+,10-09-2024,2024-25
STU20240051,Midterm,MATH10,100,100,A+,10-09-2024,2024-25
STU20240052,Midterm,MATH10,100,50,C,10-09-2024,2024-25
STU20240053,Midterm,MATH10,100,51,C,10-09-2024,2024-25
STU20240054,Midterm,MATH10,100,52,C,10-09-2024,2024-25
STU20240055,Midterm,MATH10,100,53,C,10-09-2024,2024-25
STU20240056,Midterm,MATH10,100,54,C,10-09-2024,2024-25
STU20240057,Midterm,MATH10,100,55,C,10-09-2024,2024-25
STU20240058,Midterm,MATH10,100,56,C,10-09-2024,2024-25
STU20240059,Midterm,MATH10,100,57,C,10-09-2024,2024-25
STU20240060,Midterm,MATH10,100,58,C,10-09-2024,2024-25
STU20240061,Midterm,MATH10,100,59,C,10-09-2024,2024-25
STU20240062,Midterm,MATH10,100,60,B,10-09-2024,2024-25
STU20240063,Midterm,MATH10,100,61,B,10-09-2024,2024-25
STU20240064,Midterm,MATH10,100,62,B,10-09-2024,2024-25
STU20240065,Midterm,MATH10,100,63,B,10-09-2024,2024-25
STU20240066,Midterm,MATH10,100,64,B,10-09-2024,2024-25
STU20240067,Midterm,MATH10,100,65,B,10-09-2024,2024-25
STU20240068,Midterm,MATH10,100,66,B,10-09-2024,2024-25
STU20240069,Midterm,MATH10,100,67,B,10-09-2024,2024-25
STU20240070,Midterm,MATH10,100,68,B,10-09-2024,2024-25
STU20240071,Midterm,MATH10,100,69,B,10-09-2024,2024-25
STU20240072,Midterm,MATH10,100,70,B+,10-09-2024,2024-25
STU20240073,Midterm,MATH10,100,71,B+,10-09-2024,2024-25
STU20240074,Midterm,MATH10,100,72,B+,10-09-2024,2024-25
STU20240075,Midterm,MATH10,100,73,B+,10-09-2024,2024-25
STU20240076,Midterm,MATH10,100,74,B+,10-09-2024,2024-25
STU20240077,Midterm,MATH10,100,75,B+,10-09-2024,2024-25
STU20240078,Midterm,MATH10,100,76,B+,10-09-2024,2024-25
STU20240079,Midterm,MATH10,100,77,B+,10-09-2024,2024-25
STU20240080,Midterm,MATH10,100,78,B+,10-09-2024,2024-25
STU20240081,Midterm,MATH10,100,79,B+,10-09-2024,2024-25
STU20240082,Midterm,MATH10,100,80,A,10-09-2024,2024-25
STU20240083,Midterm,MATH10,100,81,A,10-09-2024,2024-25
STU20240084,Midterm,MATH10,100,82,A,10-09-2024,2024-25
STU20240085,Midterm,MATH10,100,83,A,10-09-2024,2024-25
STU20240086,Midterm,MATH10,100,84,A,10-09-2024,2024-25
STU20240087,Midterm,MATH10,100,85,A,10-09-2024,2024-25
STU20240088,Midterm,MATH10,100,86,A,10-09-2024,2024-25
STU20240089,Midterm,MATH10,100,87,A,10-09-2024,2024-25
STU20240090,Midterm,MATH10,100,88,A,10-09-2024,2024-25
STU20240091,Midterm,MATH10,100,89,A,10-09-2024,2024-25
STU20240092,Midterm,MATH10,100,90,A+,10-09-2024,2024-25
STU20240093,Midterm,MATH10,100,91,A+,10-09-2024,2024-25
STU20240094,Midterm,MATH10,100,92,A+,10-09-2024,2024-25
STU20240095,Midterm,MATH10,100,93,A+,10-09-2024,2024-25
STU20240096,Midterm,MATH10,100,94,A+,10-09-2024,2024-25
STU20240097,Midterm,MATH10,100,95,A+,10-09-2024,2024-25
STU20240098,Midterm,MATH10,100,96,A+,10-09-2024,2024-25
STU20240099,Midterm,MATH10,100,97,A+,10-09-2024,2024-25
STU20240100,Midterm,MATH10,100,98,A+,10-09-2024,2024-25
STU20240101,Midterm,MATH10,100,99,A+,10-09-2024,2024-25
STU20240102,Midterm,MATH10,100,100,A+,10-09-2024,2024-25
STU20240103,Midterm,MATH10,100,50,C,10-09-2024,2024-25
STU20240104,Midterm,MATH10,100,51,C,10-09-2024,2024-25
STU20240105,Midterm,MATH10,100,52,C,10-09-2024,2024-25
STU20240106,Midterm,MATH10,100,53,C,10-09-2024,2024-25
