admission_number,fee_type,amount,frequency,academic_year
STU20240001,Tuition Fee,5000,MONTHLY,2024-25
STU20240002,Tuition Fee,5000,MONTHLY,2024-25
STU20240003,Tuition Fee,5000,MONTHLY,2024-25
STU20240004,Tuition Fee,5000,MONTHLY,2024-25
STU20240005,Tuition Fee,5000,MONTHLY,2024-25
STU20240006,Tuition Fee,5000,MONTHLY,2024-25
STU20240007,Tuition Fee,5000,MONTHLY,2024-25
STU20240008,Tuition Fee,5000,MONTHLY,2024-25
STU20240009,Tuition Fee,5000,MONTHLY,2024-25
STU20240010,Tuition Fee,5000,MONTHLY,2024-25
STU20240011,Tuition Fee,5000,MONTHLY,2024-25
STU20240012,Tuition Fee,5000,MONTHLY,2024-25
STU20240013,Tuition Fee,5000,MONTHLY,2024-25
STU20240014,Tuition Fee,5000,MONTHLY,2024-25
STU20240015,Tuition Fee,5000,MONTHLY,2024-25
STU20240016,Tuition Fee,5000,MONTHLY,2024-25
STU20240017,Tuition Fee,5000,MONTHLY,2024-25
STU20240018,Tuition Fee,5000,MONTHLY,2024-25
STU20240019,Tuition Fee,5000,MONTHLY,2024-25
STU20240020,Tuition Fee,5000,MONTHLY,2024-25
STU20240021,Tuition Fee,5000,MONTHLY,2024-25
STU20240022,Tuition Fee,5000,MONTHLY,2024-25
STU20240023,Tuition Fee,5000,MONTHLY,2024-25
STU20240024,Tuition Fee,5000,MONTHLY,2024-25
STU20240025,Tuition Fee,5000,MONTHLY,2024-25
STU20240026,Tuition Fee,5000,MONTHLY,2024-25
STU20240027,Tuition Fee,5000,MONTHLY,2024-25
STU20240028,Tuition Fee,5000,MONTHLY,2024-25
STU20240029,Tuition Fee,5000,MONTHLY,2024-25
STU20240030,Tuition Fee,5000,MONTHLY,2024-25
STU20240031,Tuition Fee,5000,MONTHLY,2024-25
STU20240032,Tuition Fee,5000,MONTHLY,2024-25
STU20240033,Tuition Fee,5000,MONTHLY,2024-25
STU20240034,Tuition Fee,5000,MONTHLY,2024-25
STU20240035,Tuition Fee,5000,MONTHLY,2024-25
STU20240036,Tuition Fee,5000,MONTHLY,2024-25
STU20240037,Tuition Fee,5000,MONTHLY,2024-25
STU20240038,Tuition Fee,5000,MONTHLY,2024-25
STU20240039,Tuition Fee,5000,MONTHLY,2024-25
STU20240040,Tuition Fee,5000,MONTHLY,2024-25
STU20240041,Tuition Fee,5000,MONTHLY,2024-25
STU20240042,Tuition Fee,5000,MONTHLY,2024-25
STU20240043,Tuition Fee,5000,MONTHLY,2024-25
STU20240044,Tuition Fee,5000,MONTHLY,2024-25
STU20240045,Tuition Fee,5000,MONTHLY,2024-25
STU20240046,Tuition Fee,5000,MONTHLY,2024-25
STU20240047,Tuition Fee,5000,MONTHLY,2024-25
STU20240048,Tuition Fee,5000,MONTHLY,2024-25
STU20240049,Tuition Fee,5000,MONTHLY,2024-25
STU20240050,Tuition Fee,5000,MONTHLY,2024-25
