admission_number,discount_code,discount_type,value,start_date,end_date,reason
STU20240001,DISC0,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240011,DISC10,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240021,DISC20,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240031,DISC30,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240041,DISC40,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240051,DISC50,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240061,DISC60,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240071,DISC70,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240081,DISC80,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240091,DISC90,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240101,DISC100,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240111,DISC110,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240121,DISC120,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240131,DISC130,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240141,DISC140,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240151,DISC150,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240161,DISC160,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240171,DISC170,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240181,DISC180,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240191,DISC190,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240201,DISC200,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240211,DISC210,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240221,DISC220,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240231,DISC230,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240241,DISC240,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240251,DISC250,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240261,DISC260,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240271,DISC270,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240281,DISC280,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240291,DISC290,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240301,DISC300,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240311,DISC310,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240321,DISC320,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240331,DISC330,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240341,DISC340,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240351,DISC350,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240361,DISC360,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240371,DISC370,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240381,DISC380,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240391,DISC390,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240401,DISC400,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240411,DISC410,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240421,DISC420,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240431,DISC430,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240441,DISC440,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240451,DISC450,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240461,DISC460,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240471,DISC470,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240481,DISC480,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
STU20240491,DISC490,PERCENT,10,01-04-2024,31-03-2025,Bulk discount
