invoice_number,admission_number,fee_type,amount,due_date,invoice_date,academic_year
INV-STU20240001-01,STU20240001,Tuition Fee,3000.00,28-11-2025,29-10-2025,2026-2027
INV-STU20240001-02,STU20240001,Tuition Fee,3500.00,05-11-2025,06-10-2025,2026-2027
INV-STU20240002-01,STU20240002,Tuition Fee,3000.00,24-11-2025,25-10-2025,2026-2027
INV-STU20240002-02,STU20240002,Tuition Fee,3500.00,18-09-2025,19-08-2025,2026-2027
INV-STU20240003-01,STU20240003,Tuition Fee,3000.00,16-09-2025,17-08-2025,2026-2027
INV-STU20240003-02,STU20240003,Tuition Fee,3500.00,12-09-2025,13-08-2025,2026-2027
INV-STU20240004-01,STU20240004,Tuition Fee,3000.00,24-10-2025,24-09-2025,2026-2027
INV-STU20240004-02,STU20240004,Tuition Fee,3500.00,14-12-2025,14-11-2025,2026-2027
INV-STU20240005-01,STU20240005,Tuition Fee,3000.00,18-09-2025,19-08-2025,2026-2027
INV-STU20240005-02,STU20240005,Tuition Fee,3500.00,25-01-2026,26-12-2025,2026-2027
INV-STU20240006-01,STU20240006,Tuition Fee,3000.00,10-09-2025,11-08-2025,2026-2027
INV-STU20240006-02,STU20240006,Tuition Fee,3500.00,05-11-2025,06-10-2025,2026-2027
INV-STU20240007-01,STU20240007,Tuition Fee,3000.00,05-01-2026,06-12-2025,2026-2027
INV-STU20240007-02,STU20240007,Tuition Fee,3500.00,30-12-2025,30-11-2025,2026-2027
INV-STU20240008-01,STU20240008,Tuition Fee,3000.00,20-01-2026,21-12-2025,2026-2027
INV-STU20240008-02,STU20240008,Tuition Fee,3500.00,14-11-2025,15-10-2025,2026-2027
INV-STU20240009-01,STU20240009,Tuition Fee,3000.00,19-10-2025,19-09-2025,2026-2027
INV-STU20240009-02,STU20240009,Tuition Fee,3500.00,19-12-2025,19-11-2025,2026-2027
INV-STU20240010-01,STU20240010,Tuition Fee,3000.00,03-10-2025,03-09-2025,2026-2027
INV-STU20240010-02,STU20240010,Tuition Fee,3500.00,15-12-2025,15-11-2025,2026-2027
INV-STU20240011-01,STU20240011,Tuition Fee,3000.00,19-12-2025,19-11-2025,2026-2027
INV-STU20240011-02,STU20240011,Tuition Fee,3500.00,24-10-2025,24-09-2025,2026-2027
INV-STU20240012-01,STU20240012,Tuition Fee,3000.00,01-09-2025,02-08-2025,2026-2027
INV-STU20240012-02,STU20240012,Tuition Fee,3500.00,30-09-2025,31-08-2025,2026-2027
INV-STU20240013-01,STU20240013,Tuition Fee,3000.00,18-09-2025,19-08-2025,2026-2027
INV-STU20240013-02,STU20240013,Tuition Fee,3500.00,23-11-2025,24-10-2025,2026-2027
INV-STU20240014-01,STU20240014,Tuition Fee,3000.00,26-11-2025,27-10-2025,2026-2027
INV-STU20240014-02,STU20240014,Tuition Fee,3500.00,13-11-2025,14-10-2025,2026-2027
INV-STU20240015-01,STU20240015,Tuition Fee,3000.00,21-10-2025,21-09-2025,2026-2027
INV-STU20240015-02,STU20240015,Tuition Fee,3500.00,16-10-2025,16-09-2025,2026-2027
INV-STU20240016-01,STU20240016,Tuition Fee,3000.00,27-09-2025,28-08-2025,2026-2027
INV-STU20240016-02,STU20240016,Tuition Fee,3500.00,05-01-2026,06-12-2025,2026-2027
INV-STU20240017-01,STU20240017,Tuition Fee,3000.00,13-09-2025,14-08-2025,2026-2027
INV-STU20240017-02,STU20240017,Tuition Fee,3500.00,05-11-2025,06-10-2025,2026-2027
INV-STU20240018-01,STU20240018,Tuition Fee,3000.00,17-09-2025,18-08-2025,2026-2027
INV-STU20240018-02,STU20240018,Tuition Fee,3500.00,13-12-2025,13-11-2025,2026-2027
INV-STU20240019-01,STU20240019,Tuition Fee,3000.00,24-10-2025,24-09-2025,2026-2027
INV-STU20240019-02,STU20240019,Tuition Fee,3500.00,27-11-2025,28-10-2025,2026-2027
INV-STU20240020-01,STU20240020,Tuition Fee,3000.00,30-09-2025,31-08-2025,2026-2027
INV-STU20240020-02,STU20240020,Tuition Fee,3500.00,14-01-2026,15-12-2025,2026-2027
