receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP/2026/0001,INV2026010001,5000.00,2026-01-01,CASH,Admission fee
RCP/2026/0002,INV2026010002,2500.50,02-01-2026,UPI,Partial UPI
RCP/2026/0003,INV2026010003,1500.00,2026/01/03,ONLINE,Online TXN TXN123
RCP/2026/0004,INV2026010004,2000.00,04-01-2026,BANK_TRANSFER,NEFT utr 987654
RCP/2026/0005,INV2026010005,750.75,2026-01-05,CARD,Card POS
RCP/2026/0006,INV2026010006,1200.00,06-01-2026,CASH,Stationery
RCP/2026/0007,INV2026010007,3050.25,07-01-2026,UPI,PhonePe
RCP/2026/0008,INV2026010008,4500.00,08-01-2026,CARD,POS ref 7788
RCP/2026/0009,INV2026010009,6000.50,09/01/2026,NET_BANKING,Online transfer
RCP/2026/0010,INV2026010010,750.75,10-01-2026,WALLET,Wallet payment
RCP/2026/0011,INV2026010011,250.00,11-01-2026,CHEQUE,Cheque 4521
RCP/2026/0012,INV2026010012,999.99,12-01-2026,UPI,Split payment
RCP/2026/0013,INV2026010013,1800.00,13-01-2026,CASH,Transport fee
RCP/2026/0014,INV2026010014,2200.40,14-01-2026,CARD,Card last4 4242
RCP/2026/0015,INV2026010015,150.50,15-01-2026,OTHER,Adjustment
RCP/2026/0016,INV2026010016,5000.00,16-01-2026,BANK_TRANSFER,IMPS 555666
RCP/2026/0017,INV2026010017,325.00,17-01-2026,CASH,Books
RCP/2026/0018,INV2026010018,4100.75,18-01-2026,UPI,GooglePay
RCP/2026/0019,INV2026010019,2750.00,19-01-2026,NET_BANKING,Salary deduction
RCP/2026/0020,INV2026010020,630.60,20-01-2026,CARD,EMI
RCP/2026/0021,INV2026010021,845.00,21-01-2026,CHEQUE,Cheque 9987
RCP/2026/0022,INV2026010022,12000.00,22-01-2026,CASH,Tuition fee
RCP/2026/0023,INV2026010023,49.99,23-01-2026,WALLET,Snacks
RCP/2026/0024,INV2026010024,275.25,24-01-2026,UPI,Auto-pay
RCP/2026/0025,INV2026010025,1999.00,25-01-2026,CARD,One-time
RCP/2026/0026,INV2026010026,360.40,26-01-2026,BANK_TRANSFER,IFS utr 777888
RCP/2026/0027,INV2026010027,800.00,27-01-2026,CASH,Transport
RCP/2026/0028,INV2026010028,1450.75,28-01-2026,UPI,Auto
RCP/2026/0029,INV2026010029,2300.00,29-01-2026,NET_BANKING,Online
RCP/2026/0030,INV2026010030,50.00,30-01-2026,OTHER,Service charge
RCP/2026/0031,INV2026010031,2750.25,31-01-2026,CARD,POS
RCP/2026/0032,INV2026010032,100.00,01-01-2026,CASH,Late fine
RCP/2026/0033,INV2026010033,4120.10,02-01-2026,UPI,UPI ref PAY998
RCP/2026/0034,INV2026010034,520.00,03-01-2026,CHEQUE,Cheque deposit
RCP/2026/0035,INV2026010035,9999.99,04-01-2026,BANK_TRANSFER,Corporate payment
RCP/2026/0036,INV2026010036,1350.00,05-01-2026,CARD,Card POS
RCP/2026/0037,INV2026010037,470.50,06-01-2026,UPI,GooglePay
RCP/2026/0038,INV2026010038,880.00,07-01-2026,CASH,Library fine
RCP/2026/0039,INV2026010039,2220.00,08-01-2026,ONLINE,Payment gateway
RCP/2026/0040,INV2026010040,3100.75,09-01-2026,BANK_TRANSFER,NEFT
RCP/2026/0041,INV2026010041,460.00,10-01-2026,CARD,POS ref 3344
RCP/2026/0042,INV2026010042,720.20,11-01-2026,CASH,Exam fees
RCP/2026/0043,INV2026010043,1500.00,12-01-2026,UPI,Partial
RCP/2026/0044,INV2026010044,290.00,13-01-2026,CHEQUE,Cheque 2211
RCP/2026/0045,INV2026010045,830.30,14-01-2026,NET_BANKING,Online bank
RCP/2026/0046,INV2026010046,1250.00,15-01-2026,CARD,Card payment
RCP/2026/0047,INV2026010047,540.45,16-01-2026,UPI,Split
RCP/2026/0048,INV2026010048,2100.00,17-01-2026,CASH,Hostel
RCP/2026/0049,INV2026010049,199.99,18-01-2026,WALLET,Wallet small
RCP/2026/0050,INV2026010050,3850.00,19-01-2026,BANK_TRANSFER,NEFT ref 555
RCP/2026/0051,INV2026010051,275.00,20-01-2026,CASH,Uniform
RCP/2026/0052,INV2026010052,660.60,21-01-2026,CARD,POS
RCP/2026/0053,INV2026010053,1230.00,22-01-2026,UPI,PhonePe
RCP/2026/0054,INV2026010054,480.80,23-01-2026,ONLINE,Gateway
RCP/2026/0055,INV2026010055,999.00,24-01-2026,CHEQUE,Cheque 778
RCP/2026/0056,INV2026010056,1750.25,25-01-2026,NET_BANKING,Netbanking
RCP/2026/0057,INV2026010057,60.00,26-01-2026,CASH,Copy fee
RCP/2026/0058,INV2026010058,450.45,27-01-2026,UPI,Partial UPI
RCP/2026/0059,INV2026010059,3040.00,28-01-2026,CARD,POS payment
RCP/2026/0060,INV2026010060,220.20,29-01-2026,WALLET,Snacks
RCP/2026/0061,INV2026010061,810.50,30-01-2026,BANK_TRANSFER,IMPS
RCP/2026/0062,INV2026010062,1400.00,31-01-2026,CASH,Event fee
RCP/2026/0063,INV2026010063,955.55,01-01-2026,UPI,UPI payment
RCP/2026/0064,INV2026010064,1320.00,02-01-2026,CARD,Card swipe
RCP/2026/0065,INV2026010065,260.00,03-01-2026,CHEQUE,Cheque deposit
RCP/2026/0066,INV2026010066,4700.00,04-01-2026,NET_BANKING,Online bank
RCP/2026/0067,INV2026010067,99.99,05-01-2026,WALLET,Small wallet
RCP/2026/0068,INV2026010068,1540.75,06-01-2026,CARD,Card POS
RCP/2026/0069,INV2026010069,2075.00,07-01-2026,UPI,Auto debit
RCP/2026/0070,INV2026010070,320.40,08-01-2026,CASH,Books
RCP/2026/0071,INV2026010071,1800.00,09-01-2026,ONLINE,Gateway TXN
RCP/2026/0072,INV2026010072,410.10,10-01-2026,CARD,POS
RCP/2026/0073,INV2026010073,2650.25,11-01-2026,BANK_TRANSFER,NEFT
RCP/2026/0074,INV2026010074,50.00,12-01-2026,OTHER,Adjustment
RCP/2026/0075,INV2026010075,700.00,13-01-2026,CASH,Transport
RCP/2026/0076,INV2026010076,975.35,14-01-2026,UPI,Split pay
RCP/2026/0077,INV2026010077,1235.00,15-01-2026,CARD,EMI
RCP/2026/0078,INV2026010078,880.80,16-01-2026,CHEQUE,Cheque 334
RCP/2026/0079,INV2026010079,2999.99,17-01-2026,BANK_TRANSFER,Corporate
RCP/2026/0080,INV2026010080,420.00,18-01-2026,WALLET,Top-up
RCP/2026/0081,INV2026010081,2400.00,19-01-2026,CASH,Tuition
RCP/2026/0082,INV2026010082,510.50,20-01-2026,UPI,UPI ref U123
RCP/2026/0083,INV2026010083,675.25,21-01-2026,CARD,POS
RCP/2026/0084,INV2026010084,330.00,22-01-2026,NET_BANKING,Online
RCP/2026/0085,INV2026010085,140.75,23-01-2026,CASH,Stationery
RCP/2026/0086,INV2026010086,980.00,24-01-2026,UPI,PhonePe
RCP/2026/0087,INV2026010087,1599.99,25-01-2026,CARD,Card txn
RCP/2026/0088,INV2026010088,2120.20,26-01-2026,BANK_TRANSFER,NEFT
RCP/2026/0089,INV2026010089,45.00,27-01-2026,OTHER,Service
RCP/2026/0090,INV2026010090,860.60,28-01-2026,CASH,Books
RCP/2026/0091,INV2026010091,3000.00,29-01-2026,UPI,Auto
RCP/2026/0092,INV2026010092,125.00,30-01-2026,CHEQUE,Cheque 556
RCP/2026/0093,INV2026010093,540.20,31-01-2026,CARD,POS
RCP/2026/0094,INV2026010094,780.00,01-01-2026,NET_BANKING,Online
RCP/2026/0095,INV2026010095,210.10,02-01-2026,WALLET,Snacks
RCP/2026/0096,INV2026010096,1430.00,03-01-2026,CASH,Field trip
RCP/2026/0097,INV2026010097,199.99,04-01-2026,UPI,Partial
RCP/2026/0098,INV2026010098,670.75,05-01-2026,CARD,POS
RCP/2026/0099,INV2026010099,2890.00,06-01-2026,BANK_TRANSFER,Salary adj
RCP/2026/0100,INV2026010100,330.30,07-01-2026,CASH,Library
RCP/2026/0101,INV2026010101,1200.00,08-01-2026,CASH,Stationery fee
RCP/2026/0102,INV2026010102,3050.25,09-01-2026,UPI,PhonePe
RCP/2026/0103,INV2026010103,4500.00,10-01-2026,CARD,Card POS - ref 7788
RCP/2026/0104,INV2026010104,6000.50,11-01-2026,NET_BANKING,NEFT utr 111222333
RCP/2026/0105,INV2026010105,750.75,12-01-2026,WALLET,Wallet payment
RCP/2026/0106,INV2026010106,250.00,13-01-2026,CHEQUE,Cheque 4521
RCP/2026/0107,INV2026010107,999.99,14-01-2026,UPI,UPI123
