receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP-INV-STU20240001-01-1,INV-STU20240001-01,331.84,30-11-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240001-01-2,INV-STU20240001-01,1472.30,02-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240001-02-1,INV-STU20240001-02,550.33,13-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240001-02-2,INV-STU20240001-02,2691.01,10-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240002-01-1,INV-STU20240002-01,2873.75,30-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240002-01-2,INV-STU20240002-01,104.86,02-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240003-01-1,INV-STU20240003-01,2727.33,30-08-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240003-01-2,INV-STU20240003-01,244.16,02-09-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240004-02-1,INV-STU20240004-02,2510.01,28-11-2025,CASH,Auto-generated payment
RCP-INV-STU20240006-01-1,INV-STU20240006-01,1347.96,17-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240006-01-2,INV-STU20240006-01,1379.75,04-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240006-02-1,INV-STU20240006-02,2588.20,25-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240006-02-2,INV-STU20240006-02,576.64,25-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240007-01-1,INV-STU20240007-01,675.69,08-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240007-02-1,INV-STU20240007-02,134.92,20-12-2025,UPI,Auto-generated payment
RCP-INV-STU20240008-01-1,INV-STU20240008-01,2693.37,30-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240008-02-1,INV-STU20240008-02,2477.74,27-10-2025,UPI,Auto-generated payment
RCP-INV-STU20240008-02-2,INV-STU20240008-02,284.68,15-11-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240009-01-1,INV-STU20240009-01,627.54,22-09-2025,CASH,Auto-generated payment
RCP-INV-STU20240009-01-2,INV-STU20240009-01,1990.86,23-09-2025,UPI,Auto-generated payment
RCP-INV-STU20240009-02-1,INV-STU20240009-02,2353.02,13-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240010-01-1,INV-STU20240010-01,1083.90,15-09-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240010-02-1,INV-STU20240010-02,622.34,02-12-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240010-02-2,INV-STU20240010-02,2723.99,19-12-2025,ONLINE,Auto-generated payment
RCP-INV-STU20240011-02-1,INV-STU20240011-02,3295.38,06-10-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240011-02-2,INV-STU20240011-02,204.56,20-10-2025,CASH,Auto-generated payment
RCP-INV-STU20240012-01-1,INV-STU20240012-01,2234.30,05-08-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240012-01-2,INV-STU20240012-01,107.55,08-08-2025,CHEQUE,Auto-generated payment
RCP-INV-STU20240012-02-1,INV-STU20240012-02,166.69,27-09-2025,ONLINE,Auto-generated payment
