admission_number,hostel_name,room_number,bed_number,start_date,end_date,status
STU20240001,Boys Hostel,100,A,01-06-2024,,ACTIVE
STU20240021,Boys Hostel,120,A,01-06-2024,,ACTIVE
STU20240041,Boys Hostel,140,A,01-06-2024,,ACTIVE
STU20240061,Boys Hostel,110,A,01-06-2024,,ACTIVE
STU20240081,Boys Hostel,130,A,01-06-2024,,ACTIVE
STU20240101,Boys Hostel,100,A,01-06-2024,,ACTIVE
STU20240121,Boys Hostel,120,A,01-06-2024,,ACTIVE
STU20240141,Boys Hostel,140,A,01-06-2024,,ACTIVE
STU20240161,Boys Hostel,110,A,01-06-2024,,ACTIVE
STU20240181,Boys Hostel,130,A,01-06-2024,,ACTIVE
STU20240201,Boys Hostel,100,A,01-06-2024,,ACTIVE
STU20240221,Boys Hostel,120,A,01-06-2024,,ACTIVE
STU20240241,Boys Hostel,140,A,01-06-2024,,ACTIVE
STU20240261,Boys Hostel,110,A,01-06-2024,,ACTIVE
STU20240281,Boys Hostel,130,A,01-06-2024,,ACTIVE
STU20240301,Boys Hostel,100,A,01-06-2024,,ACTIVE
STU20240321,Boys Hostel,120,A,01-06-2024,,ACTIVE
STU20240341,Boys Hostel,140,A,01-06-2024,,ACTIVE
STU20240361,Boys Hostel,110,A,01-06-2024,,ACTIVE
STU20240381,Boys Hostel,130,A,01-06-2024,,ACTIVE
STU20240401,Boys Hostel,100,A,01-06-2024,,ACTIVE
STU20240421,Boys Hostel,120,A,01-06-2024,,ACTIVE
STU20240441,Boys Hostel,140,A,01-06-2024,,ACTIVE
STU20240461,Boys Hostel,110,A,01-06-2024,,ACTIVE
STU20240481,Boys Hostel,130,A,01-06-2024,,ACTIVE
