admission_number,class_name,section_name,roll_number,enrollment_date,academic_year
STU20240001,Class 10,A,1,01-04-2024,2024-25
STU20240002,Class 10,B,2,01-04-2024,2024-25
STU20240003,Class 10,C,3,01-04-2024,2024-25
STU20240004,Class 10,D,4,01-04-2024,2024-25
STU20240005,Class 10,A,5,01-04-2024,2024-25
STU20240006,Class 10,B,6,01-04-2024,2024-25
STU20240007,Class 10,C,7,01-04-2024,2024-25
STU20240008,Class 10,D,8,01-04-2024,2024-25
STU20240009,Class 10,A,9,01-04-2024,2024-25
STU20240010,Class 10,B,10,01-04-2024,2024-25
STU20240011,Class 10,C,11,01-04-2024,2024-25
STU20240012,Class 10,D,12,01-04-2024,2024-25
STU20240013,Class 10,A,13,01-04-2024,2024-25
STU20240014,Class 10,B,14,01-04-2024,2024-25
STU20240015,Class 10,C,15,01-04-2024,2024-25
STU20240016,Class 10,D,16,01-04-2024,2024-25
STU20240017,Class 10,A,17,01-04-2024,2024-25
STU20240018,Class 10,B,18,01-04-2024,2024-25
STU20240019,Class 10,C,19,01-04-2024,2024-25
STU20240020,Class 10,D,20,01-04-2024,2024-25
STU20240021,Class 10,A,21,01-04-2024,2024-25
STU20240022,Class 10,B,22,01-04-2024,2024-25
STU20240023,Class 10,C,23,01-04-2024,2024-25
STU20240024,Class 10,D,24,01-04-2024,2024-25
STU20240025,Class 10,A,25,01-04-2024,2024-25
STU20240026,Class 10,B,26,01-04-2024,2024-25
STU20240027,Class 10,C,27,01-04-2024,2024-25
STU20240028,Class 10,D,28,01-04-2024,2024-25
STU20240029,Class 10,A,29,01-04-2024,2024-25
STU20240030,Class 10,B,30,01-04-2024,2024-25
STU20240031,Class 10,C,31,01-04-2024,2024-25
STU20240032,Class 10,D,32,01-04-2024,2024-25
STU20240033,Class 10,A,33,01-04-2024,2024-25
STU20240034,Class 10,B,34,01-04-2024,2024-25
STU20240035,Class 10,C,35,01-04-2024,2024-25
STU20240036,Class 10,D,36,01-04-2024,2024-25
STU20240037,Class 10,A,37,01-04-2024,2024-25
STU20240038,Class 10,B,38,01-04-2024,2024-25
STU20240039,Class 10,C,39,01-04-2024,2024-25
STU20240040,Class 10,D,40,01-04-2024,2024-25
STU20240041,Class 10,A,41,01-04-2024,2024-25
STU20240042,Class 10,B,42,01-04-2024,2024-25
STU20240043,Class 10,C,43,01-04-2024,2024-25
STU20240044,Class 10,D,44,01-04-2024,2024-25
STU20240045,Class 10,A,45,01-04-2024,2024-25
STU20240046,Class 10,B,46,01-04-2024,2024-25
STU20240047,Class 10,C,47,01-04-2024,2024-25
STU20240048,Class 10,D,48,01-04-2024,2024-25
STU20240049,Class 10,A,49,01-04-2024,2024-25
STU20240050,Class 10,B,50,01-04-2024,2024-25
STU20240051,Class 10,C,51,01-04-2024,2024-25
STU20240052,Class 10,D,52,01-04-2024,2024-25
STU20240053,Class 10,A,53,01-04-2024,2024-25
STU20240054,Class 10,B,54,01-04-2024,2024-25
STU20240055,Class 10,C,55,01-04-2024,2024-25
STU20240056,Class 10,D,56,01-04-2024,2024-25
STU20240057,Class 10,A,57,01-04-2024,2024-25
STU20240058,Class 10,B,58,01-04-2024,2024-25
STU20240059,Class 10,C,59,01-04-2024,2024-25
STU20240060,Class 10,D,60,01-04-2024,2024-25
STU20240061,Class 10,A,61,01-04-2024,2024-25
STU20240062,Class 10,B,62,01-04-2024,2024-25
STU20240063,Class 10,C,63,01-04-2024,2024-25
STU20240064,Class 10,D,64,01-04-2024,2024-25
STU20240065,Class 10,A,65,01-04-2024,2024-25
STU20240066,Class 10,B,66,01-04-2024,2024-25
STU20240067,Class 10,C,67,01-04-2024,2024-25
STU20240068,Class 10,D,68,01-04-2024,2024-25
STU20240069,Class 10,A,69,01-04-2024,2024-25
STU20240070,Class 10,B,70,01-04-2024,2024-25
STU20240071,Class 10,C,71,01-04-2024,2024-25
STU20240072,Class 10,D,72,01-04-2024,2024-25
STU20240073,Class 10,A,73,01-04-2024,2024-25
STU20240074,Class 10,B,74,01-04-2024,2024-25
STU20240075,Class 10,C,75,01-04-2024,2024-25
STU20240076,Class 10,D,76,01-04-2024,2024-25
STU20240077,Class 10,A,77,01-04-2024,2024-25
STU20240078,Class 10,B,78,01-04-2024,2024-25
STU20240079,Class 10,C,79,01-04-2024,2024-25
STU20240080,Class 10,D,80,01-04-2024,2024-25
STU20240081,Class 10,A,81,01-04-2024,2024-25
STU20240082,Class 10,B,82,01-04-2024,2024-25
STU20240083,Class 10,C,83,01-04-2024,2024-25
STU20240084,Class 10,D,84,01-04-2024,2024-25
STU20240085,Class 10,A,85,01-04-2024,2024-25
STU20240086,Class 10,B,86,01-04-2024,2024-25
STU20240087,Class 10,C,87,01-04-2024,2024-25
STU20240088,Class 10,D,88,01-04-2024,2024-25
STU20240089,Class 10,A,89,01-04-2024,2024-25
STU20240090,Class 10,B,90,01-04-2024,2024-25
STU20240091,Class 10,C,91,01-04-2024,2024-25
STU20240092,Class 10,D,92,01-04-2024,2024-25
STU20240093,Class 10,A,93,01-04-2024,2024-25
STU20240094,Class 10,B,94,01-04-2024,2024-25
STU20240095,Class 10,C,95,01-04-2024,2024-25
STU20240096,Class 10,D,96,01-04-2024,2024-25
STU20240097,Class 10,A,97,01-04-2024,2024-25
STU20240098,Class 10,B,98,01-04-2024,2024-25
STU20240099,Class 10,C,99,01-04-2024,2024-25
STU20240100,Class 10,D,100,01-04-2024,2024-25
STU20240101,Class 9,A,101,01-04-2024,2024-25
STU20240102,Class 9,B,102,01-04-2024,2024-25
STU20240103,Class 9,C,103,01-04-2024,2024-25
STU20240104,Class 9,D,104,01-04-2024,2024-25
STU20240105,Class 9,A,105,01-04-2024,2024-25
STU20240106,Class 9,B,106,01-04-2024,2024-25
STU20240107,Class 9,C,107,01-04-2024,2024-25
STU20240108,Class 9,D,108,01-04-2024,2024-25
STU20240109,Class 9,A,109,01-04-2024,2024-25
STU20240110,Class 9,B,110,01-04-2024,2024-25
STU20240111,Class 9,C,111,01-04-2024,2024-25
STU20240112,Class 9,D,112,01-04-2024,2024-25
STU20240113,Class 9,A,113,01-04-2024,2024-25
STU20240114,Class 9,B,114,01-04-2024,2024-25
STU20240115,Class 9,C,115,01-04-2024,2024-25
STU20240116,Class 9,D,116,01-04-2024,2024-25
STU20240117,Class 9,A,117,01-04-2024,2024-25
STU20240118,Class 9,B,118,01-04-2024,2024-25
STU20240119,Class 9,C,119,01-04-2024,2024-25
STU20240120,Class 9,D,120,01-04-2024,2024-25
STU20240121,Class 9,A,121,01-04-2024,2024-25
STU20240122,Class 9,B,122,01-04-2024,2024-25
STU20240123,Class 9,C,123,01-04-2024,2024-25
STU20240124,Class 9,D,124,01-04-2024,2024-25
STU20240125,Class 9,A,125,01-04-2024,2024-25
STU20240126,Class 9,B,126,01-04-2024,2024-25
STU20240127,Class 9,C,127,01-04-2024,2024-25
STU20240128,Class 9,D,128,01-04-2024,2024-25
STU20240129,Class 9,A,129,01-04-2024,2024-25
STU20240130,Class 9,B,130,01-04-2024,2024-25
STU20240131,Class 9,C,131,01-04-2024,2024-25
STU20240132,Class 9,D,132,01-04-2024,2024-25
STU20240133,Class 9,A,133,01-04-2024,2024-25
STU20240134,Class 9,B,134,01-04-2024,2024-25
STU20240135,Class 9,C,135,01-04-2024,2024-25
STU20240136,Class 9,D,136,01-04-2024,2024-25
STU20240137,Class 9,A,137,01-04-2024,2024-25
STU20240138,Class 9,B,138,01-04-2024,2024-25
STU20240139,Class 9,C,139,01-04-2024,2024-25
STU20240140,Class 9,D,140,01-04-2024,2024-25
STU20240141,Class 9,A,141,01-04-2024,2024-25
STU20240142,Class 9,B,142,01-04-2024,2024-25
STU20240143,Class 9,C,143,01-04-2024,2024-25
STU20240144,Class 9,D,144,01-04-2024,2024-25
STU20240145,Class 9,A,145,01-04-2024,2024-25
STU20240146,Class 9,B,146,01-04-2024,2024-25
STU20240147,Class 9,C,147,01-04-2024,2024-25
STU20240148,Class 9,D,148,01-04-2024,2024-25
