admission_number,route_name,stop_name,start_date
STU20240001,Route 1,Stop 1,01-04-2024
STU20240002,Route 2,Stop 2,01-04-2024
STU20240003,Route 3,Stop 3,01-04-2024
STU20240004,Route 4,Stop 4,01-04-2024
STU20240005,Route 5,Stop 5,01-04-2024
STU20240006,Route 1,Stop 6,01-04-2024
STU20240007,Route 2,Stop 7,01-04-2024
STU20240008,Route 3,Stop 8,01-04-2024
STU20240009,Route 4,Stop 1,01-04-2024
STU20240010,Route 5,Stop 2,01-04-2024
STU20240011,Route 1,Stop 3,01-04-2024
STU20240012,Route 2,Stop 4,01-04-2024
STU20240013,Route 3,Stop 5,01-04-2024
STU20240014,Route 4,Stop 6,01-04-2024
STU20240015,Route 5,Stop 7,01-04-2024
STU20240016,Route 1,Stop 8,01-04-2024
STU20240017,Route 2,Stop 1,01-04-2024
STU20240018,Route 3,Stop 2,01-04-2024
STU20240019,Route 4,Stop 3,01-04-2024
STU20240020,Route 5,Stop 4,01-04-2024
STU20240021,Route 1,Stop 5,01-04-2024
STU20240022,Route 2,Stop 6,01-04-2024
STU20240023,Route 3,Stop 7,01-04-2024
STU20240024,Route 4,Stop 8,01-04-2024
STU20240025,Route 5,Stop 1,01-04-2024
STU20240026,Route 1,Stop 2,01-04-2024
STU20240027,Route 2,Stop 3,01-04-2024
STU20240028,Route 3,Stop 4,01-04-2024
STU20240029,Route 4,Stop 5,01-04-2024
STU20240030,Route 5,Stop 6,01-04-2024
STU20240031,Route 1,Stop 7,01-04-2024
STU20240032,Route 2,Stop 8,01-04-2024
STU20240033,Route 3,Stop 1,01-04-2024
STU20240034,Route 4,Stop 2,01-04-2024
STU20240035,Route 5,Stop 3,01-04-2024
STU20240036,Route 1,Stop 4,01-04-2024
STU20240037,Route 2,Stop 5,01-04-2024
STU20240038,Route 3,Stop 6,01-04-2024
STU20240039,Route 4,Stop 7,01-04-2024
STU20240040,Route 5,Stop 8,01-04-2024
STU20240041,Route 1,Stop 1,01-04-2024
STU20240042,Route 2,Stop 2,01-04-2024
STU20240043,Route 3,Stop 3,01-04-2024
STU20240044,Route 4,Stop 4,01-04-2024
STU20240045,Route 5,Stop 5,01-04-2024
STU20240046,Route 1,Stop 6,01-04-2024
STU20240047,Route 2,Stop 7,01-04-2024
STU20240048,Route 3,Stop 8,01-04-2024
STU20240049,Route 4,Stop 1,01-04-2024
STU20240050,Route 5,Stop 2,01-04-2024
STU20240051,Route 1,Stop 3,01-04-2024
STU20240052,Route 2,Stop 4,01-04-2024
STU20240053,Route 3,Stop 5,01-04-2024
STU20240054,Route 4,Stop 6,01-04-2024
STU20240055,Route 5,Stop 7,01-04-2024
STU20240056,Route 1,Stop 8,01-04-2024
STU20240057,Route 2,Stop 1,01-04-2024
STU20240058,Route 3,Stop 2,01-04-2024
STU20240059,Route 4,Stop 3,01-04-2024
STU20240060,Route 5,Stop 4,01-04-2024
STU20240061,Route 1,Stop 5,01-04-2024
STU20240062,Route 2,Stop 6,01-04-2024
STU20240063,Route 3,Stop 7,01-04-2024
STU20240064,Route 4,Stop 8,01-04-2024
STU20240065,Route 5,Stop 1,01-04-2024
STU20240066,Route 1,Stop 2,01-04-2024
STU20240067,Route 2,Stop 3,01-04-2024
STU20240068,Route 3,Stop 4,01-04-2024
STU20240069,Route 4,Stop 5,01-04-2024
STU20240070,Route 5,Stop 6,01-04-2024
STU20240071,Route 1,Stop 7,01-04-2024
STU20240072,Route 2,Stop 8,01-04-2024
