class_name,section_name,room_number,capacity,academic_year
Nursery,A,101,30,2023-24
Nursery,B,102,30,2023-24
LKG,A,103,30,2023-24
LKG,B,104,30,2023-24
UKG,A,105,30,2023-24
UKG,B,106,30,2023-24
Class 1,A,107,30,2023-24
Class 1,B,108,30,2023-24
Class 2,A,109,30,2023-24
Class 2,B,110,30,2023-24
Class 3,A,111,30,2023-24
Class 3,B,112,30,2023-24
Class 4,A,113,30,2023-24
Class 4,B,114,30,2023-24
Class 5,A,115,30,2023-24
Class 5,B,116,30,2023-24
Class 6,A,117,30,2023-24
Class 6,B,118,30,2023-24
Class 7,A,119,30,2023-24
Class 7,B,120,30,2023-24
Class 8,A,121,30,2023-24
Class 8,B,122,30,2023-24
Class 9,A,123,30,2023-24
Class 9,B,124,30,2023-24
Class 10,A,125,30,2023-24
Class 10,B,126,30,2023-24
Nursery,A,127,30,2024-25
Nursery,B,128,30,2024-25
LKG,A,129,30,2024-25
LKG,B,130,30,2024-25
UKG,A,131,30,2024-25
UKG,B,132,30,2024-25
Class 1,A,133,30,2024-25
Class 1,B,134,30,2024-25
Class 2,A,135,30,2024-25
Class 2,B,136,30,2024-25
Class 3,A,137,30,2024-25
Class 3,B,138,30,2024-25
Class 4,A,139,30,2024-25
Class 4,B,140,30,2024-25
Class 5,A,141,30,2024-25
Class 5,B,142,30,2024-25
Class 6,A,143,30,2024-25
Class 6,B,144,30,2024-25
Class 7,A,145,30,2024-25
Class 7,B,146,30,2024-25
Class 8,A,147,30,2024-25
Class 8,B,148,30,2024-25
Class 9,A,149,30,2024-25
Class 9,B,150,30,2024-25
Class 10,A,151,30,2024-25
Class 10,B,152,30,2024-25
Nursery,A,153,30,2025-26
Nursery,B,154,30,2025-26
LKG,A,155,30,2025-26
LKG,B,156,30,2025-26
UKG,A,157,30,2025-26
UKG,B,158,30,2025-26
Class 1,A,159,30,2025-26
Class 1,B,160,30,2025-26
Class 2,A,161,30,2025-26
Class 2,B,162,30,2025-26
Class 3,A,163,30,2025-26
Class 3,B,164,30,2025-26
Class 4,A,165,30,2025-26
Class 4,B,166,30,2025-26
Class 5,A,167,30,2025-26
Class 5,B,168,30,2025-26
Class 6,A,169,30,2025-26
Class 6,B,170,30,2025-26
Class 7,A,171,30,2025-26
Class 7,B,172,30,2025-26
Class 8,A,173,30,2025-26
Class 8,B,174,30,2025-26
Class 9,A,175,30,2025-26
Class 9,B,176,30,2025-26
Class 10,A,177,30,2025-26
Class 10,B,178,30,2025-26
