subject_name,subject_code,class_name,credit_hours,is_elective,max_marks
English,ENGNursery,Nursery,6,false,100
Mathematics,MATHNursery,Nursery,5,false,100
EVS,EVSNursery,Nursery,4,false,100
Hindi,HINNursery,Nursery,4,false,100
Telugu,TELNursery,Nursery,4,false,100
Art & Craft,ARTNursery,Nursery,2,false,50
English,ENGLKG,LKG,6,false,100
Mathematics,MATHLKG,LKG,5,false,100
EVS,EVSLKG,LKG,4,false,100
Hindi,HINLKG,LKG,4,false,100
Telugu,TELLKG,LKG,4,false,100
Art & Craft,ARTLKG,LKG,2,false,50
English,ENGUKG,UKG,6,false,100
Mathematics,MATHUKG,UKG,5,false,100
EVS,EVSUKG,UKG,4,false,100
Hindi,HINUKG,UKG,4,false,100
Telugu,TELUKG,UKG,4,false,100
Art & Craft,ARTUKG,UKG,2,false,50
English,ENG1,Class 1,6,false,100
Mathematics,MATH1,Class 1,6,false,100
Science,SCI1,Class 1,5,false,100
Social Studies,SST1,Class 1,5,false,100
Hindi,HIN1,Class 1,4,false,100
Telugu,TEL1,Class 1,4,false,100
Computer Science,CS1,Class 1,2,false,50
Physical Education,PE1,Class 1,2,false,50
English,ENG2,Class 2,6,false,100
Mathematics,MATH2,Class 2,6,false,100
Science,SCI2,Class 2,5,false,100
Social Studies,SST2,Class 2,5,false,100
Hindi,HIN2,Class 2,4,false,100
Telugu,TEL2,Class 2,4,false,100
Computer Science,CS2,Class 2,2,false,50
Physical Education,PE2,Class 2,2,false,50
English,ENG3,Class 3,6,false,100
Mathematics,MATH3,Class 3,6,false,100
Science,SCI3,Class 3,5,false,100
Social Studies,SST3,Class 3,5,false,100
Hindi,HIN3,Class 3,4,false,100
Telugu,TEL3,Class 3,4,false,100
Computer Science,CS3,Class 3,2,false,50
Physical Education,PE3,Class 3,2,false,50
English,ENG4,Class 4,6,false,100
Mathematics,MATH4,Class 4,6,false,100
Science,SCI4,Class 4,5,false,100
Social Studies,SST4,Class 4,5,false,100
Hindi,HIN4,Class 4,4,false,100
Telugu,TEL4,Class 4,4,false,100
Computer Science,CS4,Class 4,2,false,50
Physical Education,PE4,Class 4,2,false,50
English,ENG5,Class 5,6,false,100
Mathematics,MATH5,Class 5,6,false,100
Science,SCI5,Class 5,5,false,100
Social Studies,SST5,Class 5,5,false,100
Hindi,HIN5,Class 5,4,false,100
Telugu,TEL5,Class 5,4,false,100
Computer Science,CS5,Class 5,2,false,50
Physical Education,PE5,Class 5,2,false,50
English,ENG6,Class 6,6,false,100
Mathematics,MATH6,Class 6,6,false,100
Science,SCI6,Class 6,6,false,100
Social Studies,SST6,Class 6,5,false,100
Hindi,HIN6,Class 6,4,false,100
Telugu,TEL6,Class 6,4,false,100
Computer Science,CS6,Class 6,3,false,100
Physical Education,PE6,Class 6,2,false,50
Art,ART6,Class 6,2,false,50
English,ENG7,Class 7,6,false,100
Mathematics,MATH7,Class 7,6,false,100
Science,SCI7,Class 7,6,false,100
Social Studies,SST7,Class 7,5,false,100
Hindi,HIN7,Class 7,4,false,100
Telugu,TEL7,Class 7,4,false,100
Computer Science,CS7,Class 7,3,false,100
Physical Education,PE7,Class 7,2,false,50
Art,ART7,Class 7,2,false,50
English,ENG8,Class 8,6,false,100
Mathematics,MATH8,Class 8,6,false,100
Science,SCI8,Class 8,6,false,100
Social Studies,SST8,Class 8,5,false,100
Hindi,HIN8,Class 8,4,false,100
Telugu,TEL8,Class 8,4,false,100
Computer Science,CS8,Class 8,3,false,100
Physical Education,PE8,Class 8,2,false,50
Art,ART8,Class 8,2,false,50
English,ENG9,Class 9,6,false,100
Mathematics,MATH9,Class 9,6,false,100
Science,SCI9,Class 9,6,false,100
Social Studies,SST9,Class 9,5,false,100
Hindi,HIN9,Class 9,4,false,100
Telugu,TEL9,Class 9,4,false,100
Computer Science,CS9,Class 9,3,false,100
Physical Education,PE9,Class 9,2,false,50
Art,ART9,Class 9,2,false,50
English,ENG10,Class 10,6,false,100
Mathematics,MATH10,Class 10,6,false,100
Science,SCI10,Class 10,6,false,100
Social Studies,SST10,Class 10,5,false,100
Hindi,HIN10,Class 10,4,false,100
Telugu,TEL10,Class 10,4,false,100
Computer Science,CS10,Class 10,3,false,100
Physical Education,PE10,Class 10,2,false,50
Art,ART10,Class 10,2,false,50
