fee_type,class_name,amount,frequency,due_day,is_mandatory,description,academic_year
Tuition Fee,Nursery,2000,MONTHLY,10,true,Tuition Fee for Nursery,2023-24
Annual Fee,Nursery,5000,YEARLY,10,true,Annual Fee for Nursery,2023-24
Library Fee,Nursery,500,YEARLY,10,true,Library Fee for Nursery,2023-24
Sports Fee,Nursery,1000,YEARLY,10,true,Sports Fee for Nursery,2023-24
Exam Fee,Nursery,500,HALF_YEARLY,10,true,Exam Fee for Nursery,2023-24
Tuition Fee,LKG,2000,MONTHLY,10,true,Tuition Fee for LKG,2023-24
Annual Fee,LKG,5000,YEARLY,10,true,Annual Fee for LKG,2023-24
Library Fee,LKG,500,YEARLY,10,true,Library Fee for LKG,2023-24
Sports Fee,LKG,1000,YEARLY,10,true,Sports Fee for LKG,2023-24
Exam Fee,LKG,500,HALF_YEARLY,10,true,Exam Fee for LKG,2023-24
Tuition Fee,UKG,2000,MONTHLY,10,true,Tuition Fee for UKG,2023-24
Annual Fee,UKG,5000,YEARLY,10,true,Annual Fee for UKG,2023-24
Library Fee,UKG,500,YEARLY,10,true,Library Fee for UKG,2023-24
Sports Fee,UKG,1000,YEARLY,10,true,Sports Fee for UKG,2023-24
Exam Fee,UKG,500,HALF_YEARLY,10,true,Exam Fee for UKG,2023-24
Tuition Fee,Class 1,3000,MONTHLY,10,true,Tuition Fee for Class 1,2023-24
Annual Fee,Class 1,6000,YEARLY,10,true,Annual Fee for Class 1,2023-24
Lab Fee,Class 1,1000,YEARLY,10,true,Lab Fee for Class 1,2023-24
Library Fee,Class 1,500,YEARLY,10,true,Library Fee for Class 1,2023-24
Sports Fee,Class 1,1000,YEARLY,10,true,Sports Fee for Class 1,2023-24
Exam Fee,Class 1,750,HALF_YEARLY,10,true,Exam Fee for Class 1,2023-24
Tuition Fee,Class 2,3000,MONTHLY,10,true,Tuition Fee for Class 2,2023-24
Annual Fee,Class 2,6000,YEARLY,10,true,Annual Fee for Class 2,2023-24
Lab Fee,Class 2,1000,YEARLY,10,true,Lab Fee for Class 2,2023-24
Library Fee,Class 2,500,YEARLY,10,true,Library Fee for Class 2,2023-24
Sports Fee,Class 2,1000,YEARLY,10,true,Sports Fee for Class 2,2023-24
Exam Fee,Class 2,750,HALF_YEARLY,10,true,Exam Fee for Class 2,2023-24
Tuition Fee,Class 3,3000,MONTHLY,10,true,Tuition Fee for Class 3,2023-24
Annual Fee,Class 3,6000,YEARLY,10,true,Annual Fee for Class 3,2023-24
Lab Fee,Class 3,1000,YEARLY,10,true,Lab Fee for Class 3,2023-24
Library Fee,Class 3,500,YEARLY,10,true,Library Fee for Class 3,2023-24
Sports Fee,Class 3,1000,YEARLY,10,true,Sports Fee for Class 3,2023-24
Exam Fee,Class 3,750,HALF_YEARLY,10,true,Exam Fee for Class 3,2023-24
Tuition Fee,Class 4,3000,MONTHLY,10,true,Tuition Fee for Class 4,2023-24
Annual Fee,Class 4,6000,YEARLY,10,true,Annual Fee for Class 4,2023-24
Lab Fee,Class 4,1000,YEARLY,10,true,Lab Fee for Class 4,2023-24
Library Fee,Class 4,500,YEARLY,10,true,Library Fee for Class 4,2023-24
Sports Fee,Class 4,1000,YEARLY,10,true,Sports Fee for Class 4,2023-24
Exam Fee,Class 4,750,HALF_YEARLY,10,true,Exam Fee for Class 4,2023-24
Tuition Fee,Class 5,3000,MONTHLY,10,true,Tuition Fee for Class 5,2023-24
Annual Fee,Class 5,6000,YEARLY,10,true,Annual Fee for Class 5,2023-24
Lab Fee,Class 5,1000,YEARLY,10,true,Lab Fee for Class 5,2023-24
Library Fee,Class 5,500,YEARLY,10,true,Library Fee for Class 5,2023-24
Sports Fee,Class 5,1000,YEARLY,10,true,Sports Fee for Class 5,2023-24
Exam Fee,Class 5,750,HALF_YEARLY,10,true,Exam Fee for Class 5,2023-24
Tuition Fee,Class 6,4000,MONTHLY,10,true,Tuition Fee for Class 6,2023-24
Annual Fee,Class 6,8000,YEARLY,10,true,Annual Fee for Class 6,2023-24
