admission_number,class_name,section_name,roll_number,enrollment_date,academic_year
STU0001,LKG,A,2,01-04-2024,2024-25
STU0002,LKG,A,7,01-04-2024,2024-25
STU0003,LKG,A,10,01-04-2024,2024-25
STU0004,LKG,A,14,01-04-2024,2024-25
STU0005,LKG,A,3,01-04-2024,2024-25
STU0006,LKG,A,11,01-04-2024,2024-25
STU0007,LKG,A,13,01-04-2024,2024-25
STU0008,LKG,A,6,01-04-2024,2024-25
STU0009,LKG,A,14,01-04-2024,2024-25
STU0010,LKG,A,5,01-04-2024,2024-25
STU0011,LKG,A,10,01-04-2024,2024-25
STU0012,LKG,A,10,01-04-2024,2024-25
STU0013,LKG,A,13,01-04-2024,2024-25
STU0014,LKG,A,16,01-04-2024,2024-25
STU0015,LKG,A,2,01-04-2024,2024-25
STU0016,LKG,A,9,01-04-2024,2024-25
STU0017,LKG,A,14,01-04-2024,2024-25
STU0018,LKG,A,6,01-04-2024,2024-25
STU0019,LKG,A,6,01-04-2024,2024-25
STU0020,LKG,A,13,01-04-2024,2024-25
STU0021,LKG,B,17,01-04-2024,2024-25
STU0022,LKG,B,4,01-04-2024,2024-25
STU0023,LKG,B,15,01-04-2024,2024-25
STU0024,LKG,B,3,01-04-2024,2024-25
STU0025,LKG,B,12,01-04-2024,2024-25
STU0026,LKG,B,4,01-04-2024,2024-25
STU0027,LKG,B,13,01-04-2024,2024-25
STU0028,LKG,B,1,01-04-2024,2024-25
STU0029,LKG,B,6,01-04-2024,2024-25
STU0030,LKG,B,11,01-04-2024,2024-25
STU0031,LKG,B,5,01-04-2024,2024-25
STU0032,LKG,B,19,01-04-2024,2024-25
STU0033,LKG,B,17,01-04-2024,2024-25
STU0034,LKG,B,13,01-04-2024,2024-25
STU0035,LKG,B,15,01-04-2024,2024-25
STU0036,LKG,B,1,01-04-2024,2024-25
STU0037,LKG,B,16,01-04-2024,2024-25
STU0038,LKG,B,13,01-04-2024,2024-25
STU0039,LKG,B,14,01-04-2024,2024-25
STU0040,LKG,B,2,01-04-2024,2024-25
STU0041,UKG,A,10,01-04-2024,2024-25
STU0042,UKG,A,14,01-04-2024,2024-25
STU0043,UKG,A,9,01-04-2024,2024-25
STU0044,UKG,A,4,01-04-2024,2024-25
