invoice_number,admission_number,fee_type,amount,due_date,invoice_date,academic_year
INV/2024-25/016886,STU0430,Tuition Fee,4000,10-07-2024,30-06-2024,2024-25
INV/2023-24/002608,STU0152,Tuition Fee,3000,06-01-2024,27-12-2023,2023-24
INV/2023-24/002164,STU0127,Sports Fee,1000,16-04-2023,01-04-2023,2023-24
INV/2024-25/010504,STU0075,Tuition Fee,2000,08-09-2024,29-08-2024,2024-25
INV/2023-24/000644,STU0038,Sports Fee,1000,16-04-2023,01-04-2023,2023-24
INV/2024-25/014720,STU0309,Sports Fee,1500,16-04-2024,01-04-2024,2024-25
INV/2023-24/003943,STU0226,Annual Fee,6000,16-04-2023,01-04-2023,2023-24
INV/2024-25/013763,STU0256,Annual Fee,6000,16-04-2024,01-04-2024,2024-25
INV/2024-25/017419,STU0459,Library Fee,1000,16-04-2024,01-04-2024,2024-25
INV/2025-26/018579,STU0046,Tuition Fee,3000,07-12-2025,27-11-2025,2025-26
INV/2023-24/004156,STU0238,Tuition Fee,3000,06-01-2024,27-12-2023,2023-24
INV/2023-24/006773,STU0383,Exam Fee,500,16-04-2023,01-04-2023,2023-24
INV/2023-24/004750,STU0271,Tuition Fee,3000,06-01-2024,27-12-2023,2023-24
INV/2025-26/025370,STU0423,Lab Fee,2000,16-04-2025,01-04-2025,2025-26
INV/2025-26/024914,STU0398,Tuition Fee,4000,07-11-2025,28-10-2025,2025-26
INV/2023-24/003867,STU0222,Tuition Fee,3000,07-12-2023,27-11-2023,2023-24
INV/2024-25/015944,STU0377,Sports Fee,1500,16-04-2024,01-04-2024,2024-25
INV/2023-24/003664,STU0211,Tuition Fee,3000,10-07-2023,30-06-2023,2023-24
INV/2023-24/002766,STU0161,Tuition Fee,3000,08-09-2023,29-08-2023,2023-24
INV/2023-24/009145,STU0515,Annual Fee,8000,16-04-2023,01-04-2023,2023-24
INV/2024-25/012415,STU0181,Library Fee,500,16-04-2024,01-04-2024,2024-25
INV/2024-25/015219,STU0337,Tuition Fee,4000,05-02-2025,26-01-2025,2024-25
INV/2024-25/010374,STU0067,Tuition Fee,2000,07-03-2025,25-02-2025,2024-25
INV/2023-24/006861,STU0388,Library Fee,1000,16-04-2023,01-04-2023,2023-24
INV/2023-24/001072,STU0064,Tuition Fee,2000,11-04-2023,01-04-2023,2023-24
INV/2023-24/002991,STU0173,Library Fee,500,16-04-2023,01-04-2023,2023-24
INV/2024-25/010309,STU0063,Sports Fee,1000,16-04-2024,01-04-2024,2024-25
INV/2025-26/025510,STU0431,Tuition Fee,4000,06-01-2026,27-12-2025,2025-26
INV/2024-25/015951,STU0378,Tuition Fee,4000,09-08-2024,30-07-2024,2024-25
INV/2023-24/001858,STU0110,Tuition Fee,2000,09-08-2023,30-07-2023,2023-24
INV/2024-25/010819,STU0093,Tuition Fee,3000,10-06-2024,31-05-2024,2024-25
INV/2024-25/011638,STU0138,Tuition Fee,3000,07-03-2025,25-02-2025,2024-25
INV/2024-25/014688,STU0308,Tuition Fee,4000,11-05-2024,01-05-2024,2024-25
INV/2025-26/024149,STU0355,Exam Fee,500,16-04-2025,01-04-2025,2025-26
INV/2023-24/001196,STU0071,Tuition Fee,2000,08-09-2023,29-08-2023,2023-24
INV/2023-24/003373,STU0195,Tuition Fee,3000,11-04-2023,01-04-2023,2023-24
INV/2023-24/009021,STU0508,Library Fee,1000,16-04-2023,01-04-2023,2023-24
INV/2023-24/008028,STU0453,Tuition Fee,4000,06-03-2024,25-02-2024,2023-24
INV/2025-26/021590,STU0213,Lab Fee,1000,16-04-2025,01-04-2025,2025-26
INV/2023-24/000735,STU0044,Tuition Fee,2000,10-07-2023,30-06-2023,2023-24
INV/2023-24/004788,STU0273,Tuition Fee,3000,06-03-2024,25-02-2024,2023-24
INV/2025-26/025111,STU0409,Tuition Fee,4000,08-10-2025,28-09-2025,2025-26
INV/2024-25/014511,STU0298,Tuition Fee,4000,09-08-2024,30-07-2024,2024-25
INV/2025-26/023306,STU0309,Tuition Fee,4000,11-05-2025,01-05-2025,2025-26
INV/2024-25/012823,STU0204,Tuition Fee,3000,07-12-2024,27-11-2024,2024-25
INV/2024-25/014825,STU0315,Annual Fee,8000,16-04-2024,01-04-2024,2024-25
INV/2025-26/021430,STU0204,Sports Fee,1000,16-04-2025,01-04-2025,2025-26
INV/2025-26/020325,STU0143,Tuition Fee,3000,07-12-2025,27-11-2025,2025-26
INV/2025-26/021548,STU0211,Tuition Fee,3000,07-11-2025,28-10-2025,2025-26
INV/2025-26/018701,STU0053,Tuition Fee,3000,09-08-2025,30-07-2025,2025-26
INV/2023-24/004096,STU0235,Tuition Fee,3000,10-07-2023,30-06-2023,2023-24
INV/2025-26/021988,STU0235,Sports Fee,1000,16-04-2025,01-04-2025,2025-26
INV/2024-25/016765,STU0423,Tuition Fee,4000,07-12-2024,27-11-2024,2024-25
INV/2023-24/004162,STU0238,Sports Fee,1000,16-04-2023,01-04-2023,2023-24
INV/2023-24/008988,STU0506,Exam Fee,500,13-10-2023,28-09-2023,2023-24
INV/2025-26/025168,STU0412,Tuition Fee,4000,06-01-2026,27-12-2025,2025-26
INV/2023-24/008996,STU0507,Tuition Fee,4000,07-11-2023,28-10-2023,2023-24
INV/2023-24/000263,STU0016,Tuition Fee,2000,07-11-2023,28-10-2023,2023-24
INV/2023-24/009192,STU0518,Tuition Fee,4000,08-09-2023,29-08-2023,2023-24
INV/2023-24/004633,STU0265,Tuition Fee,3000,11-04-2023,01-04-2023,2023-24
INV/2025-26/023611,STU0326,Tuition Fee,4000,11-04-2025,01-04-2025,2025-26
INV/2024-25/017441,STU0461,Tuition Fee,4000,11-04-2024,01-04-2024,2024-25
INV/2023-24/007377,STU0417,Tuition Fee,4000,07-12-2023,27-11-2023,2023-24
INV/2023-24/004212,STU0241,Tuition Fee,3000,06-03-2024,25-02-2024,2023-24
INV/2023-24/008304,STU0468,Exam Fee,500,13-10-2023,28-09-2023,2023-24
INV/2023-24/005541,STU0315,Tuition Fee,3000,07-12-2023,27-11-2023,2023-24
INV/2023-24/000853,STU0051,Tuition Fee,2000,10-06-2023,31-05-2023,2023-24
INV/2023-24/001352,STU0080,Tuition Fee,2000,07-12-2023,27-11-2023,2023-24
INV/2025-26/019837,STU0116,Tuition Fee,3000,08-10-2025,28-09-2025,2025-26
INV/2024-25/010838,STU0094,Tuition Fee,3000,10-07-2024,30-06-2024,2024-25
INV/2023-24/008717,STU0491,Exam Fee,500,16-04-2023,01-04-2023,2023-24
INV/2023-24/002673,STU0156,Tuition Fee,3000,10-06-2023,31-05-2023,2023-24
INV/2023-24/001274,STU0075,Exam Fee,250,16-04-2023,01-04-2023,2023-24
INV/2024-25/016647,STU0416,Exam Fee,500,16-04-2024,01-04-2024,2024-25
INV/2024-25/009634,STU0024,Tuition Fee,2000,10-06-2024,31-05-2024,2024-25
INV/2023-24/004141,STU0237,Annual Fee,6000,16-04-2023,01-04-2023,2023-24
INV/2025-26/019616,STU0104,Tuition Fee,3000,11-05-2025,01-05-2025,2025-26
INV/2024-25/015340,STU0344,Tuition Fee,4000,08-09-2024,29-08-2024,2024-25
INV/2025-26/019843,STU0116,Annual Fee,6000,16-04-2025,01-04-2025,2025-26
INV/2025-26/022655,STU0272,Exam Fee,500,16-04-2025,01-04-2025,2025-26
INV/2024-25/013315,STU0231,Library Fee,500,16-04-2024,01-04-2024,2024-25
INV/2024-25/015527,STU0354,Annual Fee,8000,16-04-2024,01-04-2024,2024-25
INV/2024-25/012840,STU0205,Tuition Fee,3000,07-11-2024,28-10-2024,2024-25
INV/2024-25/009706,STU0028,Tuition Fee,2000,08-10-2024,28-09-2024,2024-25
INV/2023-24/004567,STU0261,Tuition Fee,3000,08-10-2023,28-09-2023,2023-24
INV/2024-25/013465,STU0240,Tuition Fee,3000,10-06-2024,31-05-2024,2024-25
INV/2023-24/008165,STU0461,Tuition Fee,4000,09-08-2023,30-07-2023,2023-24
INV/2025-26/023670,STU0329,Tuition Fee,4000,08-09-2025,29-08-2025,2025-26
INV/2023-24/007493,STU0423,Exam Fee,500,16-04-2023,01-04-2023,2023-24
INV/2025-26/023313,STU0309,Tuition Fee,4000,07-12-2025,27-11-2025,2025-26
