receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP/2023-24/000003,INV/2023-24/000004,2000,25-07-2023,CHEQUE,
RCP/2023-24/000005,INV/2023-24/000007,2000,09-10-2023,CASH,
RCP/2023-24/000017,INV/2023-24/000023,2000,07-09-2023,CASH,
RCP/2023-24/000020,INV/2023-24/000026,2000,22-12-2023,UPI,
RCP/2023-24/000021,INV/2023-24/000027,2000,15-01-2024,CASH,
RCP/2023-24/000031,INV/2023-24/000039,2000,24-08-2023,CASH,
RCP/2023-24/000032,INV/2023-24/000040,2000,11-09-2023,ONLINE,
RCP/2023-24/000034,INV/2023-24/000042,2000,13-11-2023,CASH,
RCP/2023-24/000038,INV/2023-24/000046,2000,13-03-2024,UPI,
RCP/2023-24/000044,INV/2023-24/000052,2000,18-04-2023,BANK_TRANSFER,
RCP/2023-24/000054,INV/2023-24/000063,2000,21-03-2024,CASH,
RCP/2023-24/000055,INV/2023-24/000064,5000,16-04-2023,UPI,
RCP/2023-24/000062,INV/2023-24/000071,2000,20-06-2023,UPI,
RCP/2023-24/000076,INV/2023-24/000087,2000,07-05-2023,CASH,
RCP/2023-24/000104,INV/2023-24/000122,2000,14-06-2023,UPI,
RCP/2023-24/000106,INV/2023-24/000124,2000,21-08-2023,ONLINE,
RCP/2023-24/000107,INV/2023-24/000125,2000,03-09-2023,ONLINE,
RCP/2023-24/000110,INV/2023-24/000128,2000,07-12-2023,BANK_TRANSFER,
RCP/2023-24/000115,INV/2023-24/000135,250,19-04-2023,UPI,
RCP/2023-24/000120,INV/2023-24/000140,2000,25-07-2023,UPI,
RCP/2023-24/000121,INV/2023-24/000141,2000,07-08-2023,UPI,
RCP/2023-24/000123,INV/2023-24/000143,2000,14-10-2023,CASH,
RCP/2023-24/000125,INV/2023-24/000145,2000,11-12-2023,CASH,
RCP/2023-24/000131,INV/2023-24/000152,250,15-04-2023,UPI,
RCP/2023-24/000133,INV/2023-24/000154,2000,23-04-2023,CHEQUE,
RCP/2023-24/000144,INV/2023-24/000169,250,26-04-2023,UPI,
RCP/2023-24/000145,INV/2023-24/000170,250,11-10-2023,BANK_TRANSFER,
RCP/2023-24/000147,INV/2023-24/000172,2000,22-05-2023,UPI,
RCP/2023-24/000152,INV/2023-24/000177,2000,18-10-2023,UPI,
RCP/2023-24/000153,INV/2023-24/000178,2000,11-11-2023,BANK_TRANSFER,
RCP/2023-24/000155,INV/2023-24/000180,2000,03-01-2024,UPI,
RCP/2023-24/000166,INV/2023-24/000192,2000,16-08-2023,CASH,
RCP/2023-24/000173,INV/2023-24/000201,500,23-04-2023,BANK_TRANSFER,
RCP/2023-24/000180,INV/2023-24/000209,2000,19-08-2023,CASH,
RCP/2023-24/000182,INV/2023-24/000211,2000,15-10-2023,CASH,
RCP/2023-24/000190,INV/2023-24/000221,250,21-10-2023,CASH,
RCP/2023-24/000193,INV/2023-24/000224,2000,06-06-2023,UPI,
RCP/2023-24/000195,INV/2023-24/000227,2000,09-09-2023,ONLINE,
RCP/2023-24/000198,INV/2023-24/000230,2000,12-12-2023,BANK_TRANSFER,
RCP/2023-24/000199,INV/2023-24/000231,2000,15-01-2024,CASH,
RCP/2023-24/000208,INV/2023-24/000240,2000,26-05-2023,CASH,
RCP/2023-24/000212,INV/2023-24/000246,2000,13-11-2023,ONLINE,
