admission_number,date,status,remarks
STU0336,19-12-2023,PRESENT,
STU0150,02-06-2025,PRESENT,
STU0217,23-06-2025,PRESENT,
STU0023,09-01-2026,PRESENT,
STU0140,12-12-2023,PRESENT,
STU0187,15-07-2024,PRESENT,
STU0258,07-06-2023,PRESENT,
STU0380,30-06-2025,HALF_DAY,
STU0361,04-03-2024,LATE,
STU0034,13-02-2024,LATE,
STU0150,02-01-2026,PRESENT,
STU0457,15-10-2024,PRESENT,
STU0066,15-03-2025,PRESENT,
STU0367,02-06-2025,PRESENT,
STU0057,03-06-2023,PRESENT,
STU0272,02-02-2026,PRESENT,
STU0209,23-08-2025,PRESENT,
STU0052,12-12-2023,PRESENT,
STU0180,06-01-2024,PRESENT,
STU0026,15-03-2025,PRESENT,
STU0052,05-02-2024,PRESENT,
STU0143,02-09-2024,PRESENT,
STU0457,05-08-2024,PRESENT,
STU0430,20-06-2025,PRESENT,
STU0073,20-02-2025,PRESENT,
STU0041,10-09-2025,PRESENT,
STU0222,27-03-2025,PRESENT,
STU0010,12-02-2025,PRESENT,
STU0425,30-11-2023,PRESENT,
STU0100,23-12-2025,PRESENT,
STU0212,02-06-2025,PRESENT,
STU0429,16-12-2025,PRESENT,
STU0053,30-04-2025,PRESENT,
STU0476,12-02-2025,PRESENT,
STU0206,09-12-2023,PRESENT,
STU0457,01-08-2024,LATE,
STU0010,02-11-2024,PRESENT,
STU0195,10-09-2025,PRESENT,
STU0425,01-02-2024,PRESENT,
STU0286,12-02-2026,PRESENT,
STU0332,12-04-2025,PRESENT,
STU0461,04-07-2024,PRESENT,
STU0016,02-11-2024,PRESENT,
STU0246,20-06-2025,ABSENT,Sick
STU0260,02-02-2026,PRESENT,
STU0157,23-09-2024,HALF_DAY,
STU0211,05-04-2024,PRESENT,
STU0150,05-09-2025,ABSENT,Not informed
STU0367,30-04-2025,PRESENT,
STU0275,11-06-2024,PRESENT,
STU0041,08-01-2026,PRESENT,
STU0357,02-06-2023,ABSENT,Sick
STU0357,02-09-2024,PRESENT,
STU0241,15-07-2024,ABSENT,Sick
STU0216,21-02-2024,PRESENT,
STU0324,14-04-2025,PRESENT,
STU0438,29-01-2024,PRESENT,
STU0033,30-04-2025,PRESENT,
STU0113,11-09-2024,ABSENT,
STU0195,04-06-2025,PRESENT,
STU0477,01-03-2024,PRESENT,
STU0100,23-08-2025,ABSENT,Sick
STU0166,19-03-2024,PRESENT,
STU0150,03-02-2026,LATE,
STU0180,08-07-2023,PRESENT,
STU0064,01-03-2024,PRESENT,
STU0338,04-07-2024,PRESENT,
STU0186,14-04-2023,LEAVE,Medical leave
STU0246,19-02-2026,HALF_DAY,
STU0357,15-10-2024,PRESENT,
STU0216,07-06-2023,PRESENT,
STU0185,28-03-2025,PRESENT,
STU0136,03-02-2026,PRESENT,
STU0274,08-02-2024,PRESENT,
STU0039,10-01-2026,PRESENT,
STU0272,14-04-2025,PRESENT,
STU0461,15-03-2025,PRESENT,
STU0425,08-07-2023,PRESENT,
STU0389,01-08-2024,LATE,
STU0079,07-06-2023,PRESENT,
STU0254,30-09-2024,PRESENT,
STU0022,08-07-2023,PRESENT,
STU0274,19-03-2024,PRESENT,
STU0307,12-01-2026,PRESENT,
STU0430,04-06-2025,PRESENT,
STU0230,13-06-2023,PRESENT,
STU0254,26-09-2024,ABSENT,
STU0276,29-05-2024,PRESENT,
STU0405,03-11-2025,PRESENT,
STU0486,07-06-2023,PRESENT,
STU0366,13-06-2023,PRESENT,
STU0343,29-01-2024,PRESENT,
STU0324,12-05-2025,PRESENT,
STU0246,03-06-2025,PRESENT,
STU0067,05-01-2026,PRESENT,
STU0361,14-04-2023,PRESENT,
STU0217,16-04-2025,HALF_DAY,
STU0366,08-02-2024,PRESENT,
STU0509,05-02-2024,PRESENT,
STU0336,23-06-2025,PRESENT,
STU0382,12-03-2024,PRESENT,
STU0438,13-06-2023,PRESENT,
STU0162,18-06-2024,PRESENT,
STU0357,07-06-2023,LATE,
STU0303,27-06-2024,PRESENT,
STU0188,16-04-2025,PRESENT,
STU0311,08-12-2025,PRESENT,
STU0185,04-07-2024,PRESENT,
STU0078,31-07-2023,PRESENT,
STU0126,26-11-2024,PRESENT,
STU0361,15-09-2023,PRESENT,
STU0491,12-12-2023,ABSENT,
STU0356,12-03-2024,PRESENT,
