admission_number,exam_name,subject_code,max_marks,marks_obtained,grade,exam_date,academic_year
STU0161,Unit Test 1,SST4,100,83.5,A,31-05-2025,2025-26
STU0472,Midterm,SST10,100,100.0,A+,30-07-2024,2024-25
STU0020,Final,ARTNursery,50,34.9,B,26-01-2024,2023-24
STU0184,Final,CS2,50,30.5,B,26-01-2024,2023-24
STU0407,Midterm,SST8,100,56.2,C,30-07-2023,2023-24
STU0336,Final,CS8,100,85.6,A,26-01-2026,2025-26
STU0153,Midterm,CS1,50,30.5,B,30-07-2023,2023-24
STU0416,Unit Test 1,SST9,100,100.0,A+,31-05-2024,2024-25
STU0087,Midterm,SST1,100,88.7,A,30-07-2024,2024-25
STU0017,Midterm,TELNursery,100,81.2,A,30-07-2023,2023-24
STU0364,Unit Test 1,SCI7,100,87.2,A,31-05-2023,2023-24
STU0360,Unit Test 2,TEL7,100,98.1,A+,28-10-2024,2024-25
STU0132,Unit Test 2,CS3,50,24.5,D,28-10-2025,2025-26
STU0503,Unit Test 1,SST10,100,64.8,B,31-05-2023,2023-24
STU0300,Final,TEL7,100,56.1,C,26-01-2026,2025-26
STU0153,Final,ENG3,100,75.3,B+,26-01-2026,2025-26
STU0153,Midterm,ENG1,100,65.4,B,30-07-2023,2023-24
STU0513,Final,ENG10,100,86.7,A,26-01-2024,2023-24
STU0351,Unit Test 1,MATH7,100,71.5,B+,31-05-2024,2024-25
STU0359,Unit Test 1,PE8,50,36.7,B+,31-05-2025,2025-26
STU0360,Final,ART6,50,36.0,B+,26-01-2024,2023-24
STU0139,Unit Test 2,TEL2,100,71.9,B+,28-10-2024,2024-25
STU0140,Final,HIN2,100,41.4,D,26-01-2025,2024-25
STU0282,Unit Test 2,CS5,50,34.4,B,28-10-2023,2023-24
STU0241,Midterm,PE6,50,50.0,A+,30-07-2025,2025-26
STU0107,Midterm,ENG2,100,87.6,A,30-07-2025,2025-26
STU0323,Midterm,TEL6,100,84.5,A,30-07-2023,2023-24
STU0158,Unit Test 1,PE1,50,44.3,A,31-05-2023,2023-24
STU0165,Unit Test 1,CS4,50,40.0,A,31-05-2025,2025-26
STU0088,Unit Test 2,SST1,100,43.6,D,28-10-2024,2024-25
STU0249,Unit Test 1,SCI4,100,70.6,B+,31-05-2023,2023-24
STU0107,Final,MATH2,100,71.7,B+,26-01-2026,2025-26
STU0271,Unit Test 2,TEL6,100,58.9,C,28-10-2025,2025-26
STU0147,Unit Test 2,SST1,100,48.7,D,28-10-2023,2023-24
STU0165,Final,SCI4,100,100.0,A+,26-01-2026,2025-26
STU0277,Midterm,TEL4,100,71.4,B+,30-07-2023,2023-24
STU0301,Unit Test 1,MATH5,100,51.8,C,31-05-2023,2023-24
STU0351,Final,ART8,50,42.6,A,26-01-2026,2025-26
STU0107,Unit Test 1,MATH1,100,60.7,B,31-05-2024,2024-25
STU0196,Final,TEL2,100,77.8,B+,26-01-2024,2023-24
STU0278,Unit Test 2,PE5,50,15.7,F,28-10-2024,2024-25
STU0095,Unit Test 2,TEL1,100,78.9,B+,28-10-2024,2024-25
STU0165,Unit Test 2,HIN4,100,97.7,A+,28-10-2025,2025-26
STU0497,Final,ENG10,100,57.3,C,26-01-2024,2023-24
STU0161,Final,PE2,50,23.5,D,26-01-2024,2023-24
STU0301,Unit Test 1,MATH6,100,75.5,B+,31-05-2024,2024-25
STU0366,Unit Test 1,ART8,50,44.9,A,31-05-2024,2024-25
STU0102,Unit Test 2,SCI1,100,78.5,B+,28-10-2024,2024-25
STU0208,Unit Test 1,HIN4,100,83.1,A,31-05-2024,2024-25
STU0278,Unit Test 1,MATH6,100,77.1,B+,31-05-2025,2025-26
STU0358,Midterm,SST7,100,90.1,A+,30-07-2024,2024-25
STU0332,Unit Test 1,CS7,100,59.7,C,31-05-2024,2024-25
STU0328,Final,HIN8,100,88.0,A,26-01-2026,2025-26
STU0338,Unit Test 1,SCI8,100,85.6,A,31-05-2025,2025-26
STU0360,Midterm,PE6,50,50.0,A+,30-07-2023,2023-24
STU0506,Unit Test 1,SCI10,100,75.9,B+,31-05-2023,2023-24
STU0155,Unit Test 1,TEL2,100,93.1,A+,31-05-2024,2024-25
STU0171,Final,HIN2,100,63.5,B,26-01-2024,2023-24
STU0472,Final,TEL9,100,79.3,B+,26-01-2024,2023-24
STU0356,Unit Test 2,ENG7,100,72.4,B+,28-10-2024,2024-25
STU0271,Unit Test 1,ART6,50,36.3,B+,31-05-2025,2025-26
STU0441,Unit Test 2,MATH10,100,71.1,B+,28-10-2024,2024-25
STU0017,Final,EVSUKG,100,64.3,B,26-01-2026,2025-26
STU0277,Unit Test 1,CS5,50,42.6,A,31-05-2024,2024-25
STU0320,Unit Test 1,ART7,50,23.3,D,31-05-2025,2025-26
STU0300,Final,PE7,50,40.2,A,26-01-2026,2025-26
STU0359,Midterm,CS7,100,96.9,A+,30-07-2024,2024-25
STU0358,Unit Test 1,HIN7,100,61.9,B,31-05-2024,2024-25
STU0420,Unit Test 2,SCI10,100,55.6,C,28-10-2025,2025-26
STU0320,Midterm,PE5,50,42.6,A,30-07-2023,2023-24
STU0139,Midterm,HIN3,100,71.6,B+,30-07-2025,2025-26
STU0024,Unit Test 2,EVSLKG,100,77.0,B+,28-10-2024,2024-25
STU0211,Unit Test 1,TEL3,100,75.9,B+,31-05-2023,2023-24
STU0107,Unit Test 1,HIN2,100,45.2,D,31-05-2025,2025-26
STU0262,Midterm,TEL4,100,66.9,B,30-07-2023,2023-24
STU0200,Unit Test 2,SCI2,100,67.8,B,28-10-2023,2023-24
STU0050,Midterm,HINUKG,100,47.1,D,30-07-2024,2024-25
STU0459,Final,TEL10,100,79.9,B+,26-01-2025,2024-25
STU0475,Unit Test 2,SST9,100,68.6,B,28-10-2023,2023-24
STU0149,Unit Test 1,SST1,100,66.1,B,31-05-2023,2023-24
STU0420,Final,ENG9,100,73.8,B+,26-01-2025,2024-25
STU0278,Final,ENG5,100,51.1,C,26-01-2025,2024-25
STU0352,Unit Test 2,TEL6,100,75.1,B+,28-10-2023,2023-24
STU0161,Unit Test 2,PE4,50,27.8,C,28-10-2025,2025-26
STU0262,Unit Test 2,MATH6,100,76.6,B+,28-10-2025,2025-26
STU0308,Unit Test 2,MATH6,100,78.9,B+,28-10-2024,2024-25
STU0016,Unit Test 2,MATHUKG,100,52.2,C,28-10-2025,2025-26
STU0177,Unit Test 2,SCI3,100,52.4,C,28-10-2024,2024-25
STU0308,Unit Test 2,SST5,100,67.1,B,28-10-2023,2023-24
STU0328,Final,SCI7,100,30.6,F,26-01-2025,2024-25
STU0515,Unit Test 2,SCI10,100,44.0,D,28-10-2023,2023-24
STU0424,Unit Test 2,SST9,100,70.8,B+,28-10-2024,2024-25
STU0171,Midterm,CS4,50,36.3,B+,30-07-2025,2025-26
STU0338,Final,CS7,100,75.4,B+,26-01-2025,2024-25
STU0357,Midterm,SST8,100,92.3,A+,30-07-2025,2025-26
STU0459,Midterm,ENG9,100,88.3,A,30-07-2023,2023-24
STU0262,Final,ENG6,100,97.2,A+,26-01-2026,2025-26
STU0161,Final,TEL2,100,99.2,A+,26-01-2024,2023-24
STU0277,Final,HIN4,100,66.8,B,26-01-2024,2023-24
STU0358,Final,SST6,100,94.5,A+,26-01-2024,2023-24
STU0189,Final,TEL4,100,63.3,B,26-01-2026,2025-26
STU0073,Unit Test 2,ARTLKG,50,38.6,B+,28-10-2023,2023-24
STU0277,Unit Test 1,PE4,50,43.0,A,31-05-2023,2023-24
STU0097,Unit Test 2,MATH2,100,85.3,A,28-10-2025,2025-26
STU0320,Unit Test 1,SCI6,100,72.4,B+,31-05-2024,2024-25
STU0231,Final,TEL3,100,49.7,D,26-01-2024,2023-24
STU0304,Midterm,PE7,50,37.7,B+,30-07-2025,2025-26
STU0338,Unit Test 2,CS8,100,86.2,A,28-10-2025,2025-26
STU0356,Final,ART6,50,40.7,A,26-01-2024,2023-24
STU0241,Unit Test 1,MATH5,100,65.5,B,31-05-2024,2024-25
STU0283,Final,PE5,50,38.5,B+,26-01-2024,2023-24
STU0037,Midterm,ARTNursery,50,32.7,B,30-07-2023,2023-24
STU0360,Unit Test 2,ART6,50,31.6,B,28-10-2023,2023-24
STU0249,Final,CS4,50,32.4,B,26-01-2024,2023-24
STU0407,Final,TEL8,100,56.8,C,26-01-2024,2023-24
STU0107,Unit Test 2,SCI1,100,100.0,A+,28-10-2024,2024-25
STU0301,Unit Test 1,PE7,50,27.6,C,31-05-2025,2025-26
STU0509,Final,SST10,100,90.9,A+,26-01-2024,2023-24
STU0381,Unit Test 2,ART9,50,29.3,C,28-10-2025,2025-26
STU0358,Unit Test 2,SST6,100,65.2,B,28-10-2023,2023-24
STU0420,Unit Test 2,SST8,100,66.5,B,28-10-2023,2023-24
STU0304,Unit Test 2,TEL5,100,55.4,C,28-10-2023,2023-24
STU0024,Unit Test 1,ENGNursery,100,71.8,B+,31-05-2023,2023-24
STU0441,Midterm,ART9,50,38.4,B+,30-07-2023,2023-24
STU0277,Unit Test 2,HIN6,100,91.5,A+,28-10-2025,2025-26
STU0149,Unit Test 2,SST1,100,56.5,C,28-10-2023,2023-24
STU0360,Unit Test 2,SST8,100,82.3,A,28-10-2025,2025-26
STU0497,Midterm,PE10,50,37.0,B+,30-07-2023,2023-24
STU0308,Midterm,CS7,100,80.5,A,30-07-2025,2025-26
STU0320,Unit Test 1,PE5,50,30.2,B,31-05-2023,2023-24
STU0351,Unit Test 2,TEL8,100,59.2,C,28-10-2025,2025-26
STU0356,Final,TEL7,100,83.3,A,26-01-2025,2024-25
STU0147,Unit Test 1,TEL2,100,81.9,A,31-05-2024,2024-25
STU0109,Midterm,HIN2,100,63.7,B,30-07-2025,2025-26
STU0097,Midterm,SST2,100,66.6,B,30-07-2025,2025-26
STU0184,Unit Test 1,HIN2,100,95.6,A+,31-05-2023,2023-24
STU0336,Unit Test 2,CS6,100,91.3,A+,28-10-2023,2023-24
STU0407,Final,TEL10,100,80.6,A,26-01-2026,2025-26
STU0132,Final,PE3,50,35.9,B+,26-01-2026,2025-26
STU0140,Unit Test 2,SCI3,100,73.1,B+,28-10-2025,2025-26
STU0024,Unit Test 2,EVSUKG,100,100.0,A+,28-10-2025,2025-26
STU0407,Unit Test 2,MATH10,100,50.0,D,28-10-2025,2025-26
STU0351,Unit Test 2,SCI8,100,72.9,B+,28-10-2025,2025-26
STU0153,Unit Test 1,SCI3,100,80.9,A,31-05-2025,2025-26
STU0139,Unit Test 2,SCI3,100,75.2,B+,28-10-2025,2025-26
STU0416,Final,CS9,100,95.2,A+,26-01-2025,2024-25
STU0149,Midterm,CS1,50,31.5,B,30-07-2023,2023-24
STU0102,Unit Test 2,CS1,50,38.4,B+,28-10-2024,2024-25
STU0095,Midterm,SCI2,100,66.7,B,30-07-2025,2025-26
STU0360,Unit Test 2,SCI8,100,78.6,B+,28-10-2025,2025-26
STU0271,Unit Test 2,PE5,50,34.7,B,28-10-2024,2024-25
STU0185,Unit Test 1,PE3,50,34.9,B,31-05-2024,2024-25
STU0185,Final,CS3,50,41.5,A,26-01-2025,2024-25
STU0132,Unit Test 2,CS1,50,26.5,C,28-10-2023,2023-24
STU0132,Unit Test 2,ENG3,100,80.9,A,28-10-2025,2025-26
STU0352,Unit Test 2,CS7,100,32.8,F,28-10-2024,2024-25
STU0278,Final,SCI5,100,67.4,B,26-01-2025,2024-25
STU0073,Unit Test 1,MATHLKG,100,61.9,B,31-05-2023,2023-24
STU0102,Final,ENGUKG,100,88.3,A,26-01-2024,2023-24
STU0095,Unit Test 1,CS2,50,42.5,A,31-05-2025,2025-26
STU0165,Unit Test 1,ENG3,100,78.3,B+,31-05-2024,2024-25
STU0109,Final,PE1,50,35.6,B+,26-01-2025,2024-25
STU0155,Final,MATH1,100,44.2,D,26-01-2024,2023-24
STU0271,Final,TEL4,100,56.9,C,26-01-2024,2023-24
STU0277,Unit Test 2,MATH5,100,64.1,B,28-10-2024,2024-25
STU0139,Unit Test 1,HIN2,100,80.5,A,31-05-2024,2024-25
STU0465,Midterm,TEL10,100,88.6,A,30-07-2024,2024-25
STU0241,Unit Test 2,SCI5,100,74.4,B+,28-10-2024,2024-25
STU0088,Midterm,SCI2,100,67.3,B,30-07-2025,2025-26
STU0323,Unit Test 2,MATH6,100,59.8,C,28-10-2023,2023-24
STU0391,Midterm,TEL7,100,62.7,B,30-07-2023,2023-24
STU0357,Unit Test 1,SST8,100,86.7,A,31-05-2025,2025-26
STU0189,Final,HIN2,100,89.1,A,26-01-2024,2023-24
STU0283,Final,MATH7,100,56.9,C,26-01-2026,2025-26
STU0139,Midterm,SCI1,100,72.7,B+,30-07-2023,2023-24
STU0024,Midterm,HINLKG,100,74.2,B+,30-07-2024,2024-25
STU0017,Final,MATHLKG,100,78.0,B+,26-01-2025,2024-25
STU0456,Midterm,ENG10,100,70.2,B+,30-07-2024,2024-25
STU0424,Unit Test 2,TEL10,100,88.2,A,28-10-2025,2025-26
STU0384,Unit Test 1,SST8,100,68.8,B,31-05-2024,2024-25
STU0111,Final,HINUKG,100,57.6,C,26-01-2024,2023-24
STU0351,Unit Test 2,PE7,50,26.2,C,28-10-2024,2024-25
STU0278,Final,SCI4,100,99.3,A+,26-01-2024,2023-24
STU0456,Unit Test 1,SST10,100,66.2,B,31-05-2024,2024-25
STU0161,Midterm,TEL4,100,55.6,C,30-07-2025,2025-26
STU0300,Midterm,CS7,100,60.9,B,30-07-2025,2025-26
STU0456,Unit Test 1,ART9,50,29.8,C,31-05-2023,2023-24
STU0282,Final,PE7,50,32.3,B,26-01-2026,2025-26
STU0381,Final,CS7,100,73.3,B+,26-01-2024,2023-24
STU0301,Unit Test 2,CS5,50,35.2,B+,28-10-2023,2023-24
STU0287,Midterm,PE5,50,34.8,B,30-07-2023,2023-24
STU0241,Final,TEL4,100,60.6,B,26-01-2024,2023-24
STU0320,Midterm,SST7,100,81.8,A,30-07-2025,2025-26
STU0384,Final,PE7,50,33.5,B,26-01-2024,2023-24
STU0277,Unit Test 1,MATH5,100,64.9,B,31-05-2024,2024-25
STU0008,Midterm,HINLKG,100,82.4,A,30-07-2024,2024-25
STU0283,Final,CS7,100,63.9,B,26-01-2026,2025-26
STU0050,Unit Test 2,MATHUKG,100,78.9,B+,28-10-2024,2024-25
STU0208,Unit Test 1,HIN5,100,55.5,C,31-05-2025,2025-26
STU0024,Final,TELNursery,100,85.0,A,26-01-2024,2023-24
STU0132,Midterm,TEL3,100,49.0,D,30-07-2025,2025-26
STU0132,Unit Test 1,PE3,50,34.5,B,31-05-2025,2025-26
STU0308,Unit Test 1,HIN5,100,72.0,B+,31-05-2023,2023-24
STU0420,Final,MATH8,100,57.7,C,26-01-2024,2023-24
STU0149,Unit Test 1,PE1,50,40.2,A,31-05-2023,2023-24
STU0475,Unit Test 2,TEL10,100,35.6,F,28-10-2024,2024-25
STU0352,Unit Test 1,HIN7,100,66.4,B,31-05-2024,2024-25
STU0420,Unit Test 1,ENG8,100,94.8,A+,31-05-2023,2023-24
STU0165,Unit Test 1,ENG4,100,78.2,B+,31-05-2025,2025-26
STU0153,Unit Test 1,ENG3,100,76.0,B+,31-05-2025,2025-26
STU0332,Unit Test 1,TEL7,100,76.0,B+,31-05-2024,2024-25
STU0161,Final,SCI4,100,69.3,B,26-01-2026,2025-26
STU0475,Midterm,HIN9,100,67.6,B,30-07-2023,2023-24
STU0390,Unit Test 2,ART9,50,26.6,C,28-10-2025,2025-26
STU0283,Midterm,ENG7,100,85.7,A,30-07-2025,2025-26
STU0423,Midterm,ENG8,100,56.9,C,30-07-2023,2023-24
STU0423,Unit Test 2,SST10,100,85.9,A,28-10-2025,2025-26
STU0358,Unit Test 1,HIN6,100,85.0,A,31-05-2023,2023-24
STU0444,Unit Test 1,MATH10,100,70.2,B+,31-05-2024,2024-25
STU0308,Midterm,SCI5,100,91.1,A+,30-07-2023,2023-24
STU0171,Midterm,ENG3,100,79.2,B+,30-07-2024,2024-25
STU0111,Final,SST1,100,89.1,A,26-01-2025,2024-25
STU0140,Midterm,TEL1,100,85.2,A,30-07-2023,2023-24
STU0309,Unit Test 2,SST7,100,45.1,D,28-10-2025,2025-26
STU0185,Midterm,TEL2,100,72.7,B+,30-07-2023,2023-24
STU0366,Midterm,ART9,50,44.7,A,30-07-2025,2025-26
STU0155,Unit Test 1,SCI3,100,73.1,B+,31-05-2025,2025-26
STU0358,Unit Test 2,CS8,100,75.9,B+,28-10-2025,2025-26
STU0155,Final,PE2,50,39.0,B+,26-01-2025,2024-25
STU0016,Unit Test 2,ENGUKG,100,81.9,A,28-10-2025,2025-26
STU0185,Midterm,HIN2,100,95.2,A+,30-07-2023,2023-24
STU0241,Unit Test 1,PE5,50,27.4,C,31-05-2024,2024-25
STU0097,Unit Test 2,HINUKG,100,100.0,A+,28-10-2023,2023-24
STU0287,Final,TEL6,100,77.2,B+,26-01-2025,2024-25
STU0097,Unit Test 1,SCI2,100,66.8,B,31-05-2025,2025-26
STU0465,Final,SST9,100,93.9,A+,26-01-2024,2023-24
STU0202,Unit Test 2,TEL3,100,65.7,B,28-10-2023,2023-24
STU0407,Final,HIN10,100,70.5,B+,26-01-2026,2025-26
STU0271,Unit Test 2,CS4,50,35.7,B+,28-10-2023,2023-24
STU0102,Unit Test 1,MATH1,100,73.8,B+,31-05-2024,2024-25
STU0097,Unit Test 2,HIN2,100,76.3,B+,28-10-2025,2025-26
STU0171,Midterm,SCI2,100,59.7,C,30-07-2023,2023-24
STU0497,Unit Test 1,SST10,100,90.1,A+,31-05-2023,2023-24
STU0158,Unit Test 1,MATH3,100,65.4,B,31-05-2025,2025-26
