admission_number,class_name,section_name,roll_number,enrollment_date,academic_year
1,Nursery,A,1,07/07/2025,2025-26
2,Nursery,A,2,07/07/2025,2025-26
3,Nursery,A,3,07/07/2025,2025-26
4,Nursery,A,4,07/07/2025,2025-26
5,Nursery,A,5,07/07/2025,2025-26
6,Nursery,A,6,07/07/2025,2025-26
7,Nursery,A,7,07/07/2025,2025-26
8,Nursery,A,8,07/07/2025,2025-26
9,Nursery,A,9,07/07/2025,2025-26
10,Nursery,A,10,07/07/2025,2025-26
11,Nursery,A,11,07/07/2025,2025-26
12,Nursery,A,12,07/07/2025,2025-26
13,Nursery,A,13,07/07/2025,2025-26
14,Nursery,A,14,07/07/2025,2025-26
15,Nursery,A,15,07/07/2025,2025-26
16,Nursery,A,16,07/07/2025,2025-26
17,Nursery,A,17,07/07/2025,2025-26
18,Nursery,A,18,07/07/2025,2025-26
19,Nursery,A,19,07/07/2025,2025-26
20,Nursery,A,20,07/07/2025,2025-26
21,Nursery,A,21,07/07/2025,2025-26
22,Nursery,A,22,07/07/2025,2025-26
23,Nursery,A,23,07/07/2025,2025-26
24,Nursery,A,24,07/07/2025,2025-26
25,Nursery,A,25,07/07/2025,2025-26
26,Nursery,A,26,07/07/2025,2025-26
27,Nursery,A,27,07/07/2025,2025-26
28,Nursery,A,28,07/07/2025,2025-26
29,Nursery,A,29,07/07/2025,2025-26
30,Nursery,A,30,07/07/2025,2025-26
31,Nursery,A,31,07/07/2025,2025-26
32,Nursery,A,32,07/07/2025,2025-26
34,LKG,A,33,07/07/2025,2025-26
35,LKG,A,34,07/07/2025,2025-26
36,LKG,A,35,07/07/2025,2025-26
37,LKG,A,36,07/07/2025,2025-26
38,LKG,A,37,07/07/2025,2025-26
39,LKG,A,38,07/07/2025,2025-26
40,LKG,A,39,07/07/2025,2025-26
41,LKG,A,40,07/07/2025,2025-26
42,LKG,A,41,07/07/2025,2025-26
43,LKG,A,42,07/07/2025,2025-26
44,LKG,A,43,07/07/2025,2025-26
45,LKG,A,44,07/07/2025,2025-26
46,LKG,A,45,07/07/2025,2025-26
47,LKG,A,46,07/07/2025,2025-26
48,LKG,A,47,07/07/2025,2025-26
49,LKG,A,48,07/07/2025,2025-26
50,LKG,A,49,07/07/2025,2025-26
51,LKG,A,50,07/07/2025,2025-26
52,LKG,A,51,07/07/2025,2025-26
53,LKG,A,52,07/07/2025,2025-26
54,LKG,A,53,07/07/2025,2025-26
55,LKG,A,54,07/07/2025,2025-26
56,LKG,A,55,07/07/2025,2025-26
57,LKG,A,56,07/07/2025,2025-26
