invoice_number,admission_number,fee_type,amount,due_date,invoice_date,academic_year
INV/2025-26/000001,1,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000002,1,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000003,1,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000004,1,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000005,1,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000006,1,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000007,1,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000008,1,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000009,1,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000010,1,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000011,1,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000012,1,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000013,1,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000014,1,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000015,2,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000016,2,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000017,2,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000018,2,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000019,2,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000020,2,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000021,2,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000022,2,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000023,2,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000024,2,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000025,2,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000026,2,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000027,2,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000028,2,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000029,3,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000030,3,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000031,3,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000032,3,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000033,3,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000034,3,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
INV/2025-26/000035,3,Tuition Fee,2000,10-01-2026,01-01-2026,2025-26
INV/2025-26/000036,3,Tuition Fee,2000,10-02-2026,01-02-2026,2025-26
INV/2025-26/000037,3,Tuition Fee,2000,10-03-2026,01-03-2026,2025-26
INV/2025-26/000038,3,Annual Fee,5000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000039,3,Library Fee,500,22-07-2025,07-07-2025,2025-26
INV/2025-26/000040,3,Sports Fee,1000,22-07-2025,07-07-2025,2025-26
INV/2025-26/000041,3,Exam Fee,250,22-07-2025,07-07-2025,2025-26
INV/2025-26/000042,3,Exam Fee,250,16-01-2026,01-01-2026,2025-26
INV/2025-26/000043,4,Tuition Fee,2000,10-07-2025,01-07-2025,2025-26
INV/2025-26/000044,4,Tuition Fee,2000,10-08-2025,01-08-2025,2025-26
INV/2025-26/000045,4,Tuition Fee,2000,10-09-2025,01-09-2025,2025-26
INV/2025-26/000046,4,Tuition Fee,2000,10-10-2025,01-10-2025,2025-26
INV/2025-26/000047,4,Tuition Fee,2000,10-11-2025,01-11-2025,2025-26
INV/2025-26/000048,4,Tuition Fee,2000,10-12-2025,01-12-2025,2025-26
