receipt_number,invoice_number,amount_paid,payment_date,payment_mode,remarks
RCP/2025-26/000001,INV/2025-26/000001,2000,10-07-2025,BANK_TRANSFER,
RCP/2025-26/000002,INV/2025-26/000002,2000,14-08-2025,CASH,
RCP/2025-26/000003,INV/2025-26/000003,2000,12-09-2025,CHEQUE,
RCP/2025-26/000004,INV/2025-26/000004,2000,10-10-2025,CASH,
RCP/2025-26/000005,INV/2025-26/000005,2000,10-11-2025,CHEQUE,
RCP/2025-26/000006,INV/2025-26/000006,2000,23-12-2025,UPI,
RCP/2025-26/000007,INV/2025-26/000007,2000,18-01-2026,CASH,
RCP/2025-26/000008,INV/2025-26/000008,2000,15-02-2026,ONLINE,
RCP/2025-26/000009,INV/2025-26/000009,2000,14-03-2026,UPI,
RCP/2025-26/000010,INV/2025-26/000011,500,24-07-2025,ONLINE,
RCP/2025-26/000011,INV/2025-26/000012,1000,02-08-2025,CHEQUE,
RCP/2025-26/000012,INV/2025-26/000013,250,23-07-2025,ONLINE,
RCP/2025-26/000013,INV/2025-26/000014,250,28-01-2026,CASH,
RCP/2025-26/000014,INV/2025-26/000015,2000,21-07-2025,CHEQUE,
RCP/2025-26/000015,INV/2025-26/000016,2000,12-08-2025,CASH,
RCP/2025-26/000016,INV/2025-26/000017,2000,19-09-2025,CASH,
RCP/2025-26/000017,INV/2025-26/000020,2000,24-12-2025,BANK_TRANSFER,
RCP/2025-26/000018,INV/2025-26/000021,2000,21-01-2026,UPI,
RCP/2025-26/000019,INV/2025-26/000022,2000,12-02-2026,CHEQUE,
RCP/2025-26/000020,INV/2025-26/000023,2000,17-03-2026,UPI,
RCP/2025-26/000021,INV/2025-26/000024,5000,30-07-2025,CHEQUE,
RCP/2025-26/000022,INV/2025-26/000025,500,01-08-2025,CASH,
RCP/2025-26/000023,INV/2025-26/000026,1000,23-07-2025,BANK_TRANSFER,
RCP/2025-26/000024,INV/2025-26/000027,250,24-07-2025,UPI,
RCP/2025-26/000025,INV/2025-26/000029,2000,20-07-2025,UPI,
RCP/2025-26/000026,INV/2025-26/000030,2000,22-08-2025,ONLINE,
RCP/2025-26/000027,INV/2025-26/000031,2000,14-09-2025,UPI,
RCP/2025-26/000028,INV/2025-26/000032,2000,18-10-2025,CHEQUE,
RCP/2025-26/000029,INV/2025-26/000033,2000,22-11-2025,BANK_TRANSFER,
RCP/2025-26/000030,INV/2025-26/000034,2000,14-12-2025,CHEQUE,
RCP/2025-26/000031,INV/2025-26/000035,2000,11-01-2026,CASH,
RCP/2025-26/000032,INV/2025-26/000036,2000,15-02-2026,ONLINE,
RCP/2025-26/000033,INV/2025-26/000037,2000,22-03-2026,ONLINE,
RCP/2025-26/000034,INV/2025-26/000038,5000,05-08-2025,CHEQUE,
RCP/2025-26/000035,INV/2025-26/000039,500,22-07-2025,CASH,
RCP/2025-26/000036,INV/2025-26/000040,1000,30-07-2025,BANK_TRANSFER,
RCP/2025-26/000037,INV/2025-26/000041,250,04-08-2025,UPI,
RCP/2025-26/000038,INV/2025-26/000042,250,24-01-2026,CHEQUE,
RCP/2025-26/000039,INV/2025-26/000043,2000,13-07-2025,BANK_TRANSFER,
RCP/2025-26/000040,INV/2025-26/000044,2000,16-08-2025,UPI,
RCP/2025-26/000041,INV/2025-26/000045,2000,15-09-2025,CHEQUE,
RCP/2025-26/000042,INV/2025-26/000049,2000,25-01-2026,CASH,
RCP/2025-26/000043,INV/2025-26/000050,2000,21-02-2026,BANK_TRANSFER,
RCP/2025-26/000044,INV/2025-26/000051,2000,17-03-2026,CHEQUE,
RCP/2025-26/000045,INV/2025-26/000053,500,06-08-2025,CASH,
RCP/2025-26/000046,INV/2025-26/000055,250,26-07-2025,UPI,
RCP/2025-26/000047,INV/2025-26/000056,250,21-01-2026,BANK_TRANSFER,
RCP/2025-26/000048,INV/2025-26/000057,2000,23-07-2025,UPI,
RCP/2025-26/000049,INV/2025-26/000059,2000,16-09-2025,BANK_TRANSFER,
RCP/2025-26/000050,INV/2025-26/000060,2000,21-10-2025,ONLINE,
RCP/2025-26/000051,INV/2025-26/000062,2000,17-12-2025,UPI,
RCP/2025-26/000052,INV/2025-26/000063,2000,10-01-2026,CHEQUE,
RCP/2025-26/000053,INV/2025-26/000064,2000,17-02-2026,CASH,
RCP/2025-26/000054,INV/2025-26/000065,2000,11-03-2026,UPI,
RCP/2025-26/000055,INV/2025-26/000066,5000,23-07-2025,BANK_TRANSFER,
RCP/2025-26/000056,INV/2025-26/000067,500,29-07-2025,BANK_TRANSFER,
RCP/2025-26/000057,INV/2025-26/000068,1000,28-07-2025,CHEQUE,
RCP/2025-26/000058,INV/2025-26/000069,250,06-08-2025,UPI,
RCP/2025-26/000059,INV/2025-26/000070,250,29-01-2026,UPI,
RCP/2025-26/000060,INV/2025-26/000071,2000,23-07-2025,BANK_TRANSFER,
RCP/2025-26/000061,INV/2025-26/000072,2000,24-08-2025,CASH,
RCP/2025-26/000062,INV/2025-26/000073,2000,13-09-2025,CASH,
RCP/2025-26/000063,INV/2025-26/000074,2000,20-10-2025,CASH,
RCP/2025-26/000064,INV/2025-26/000075,2000,16-11-2025,CHEQUE,
RCP/2025-26/000065,INV/2025-26/000076,2000,23-12-2025,UPI,
RCP/2025-26/000066,INV/2025-26/000077,2000,17-01-2026,CASH,
RCP/2025-26/000067,INV/2025-26/000078,2000,13-02-2026,CASH,
RCP/2025-26/000068,INV/2025-26/000079,2000,10-03-2026,CASH,
RCP/2025-26/000069,INV/2025-26/000081,500,27-07-2025,ONLINE,
RCP/2025-26/000070,INV/2025-26/000082,1000,28-07-2025,ONLINE,
RCP/2025-26/000071,INV/2025-26/000084,250,16-01-2026,ONLINE,
RCP/2025-26/000072,INV/2025-26/000085,2000,24-07-2025,BANK_TRANSFER,
RCP/2025-26/000073,INV/2025-26/000086,2000,25-08-2025,UPI,
RCP/2025-26/000074,INV/2025-26/000087,2000,16-09-2025,CASH,
RCP/2025-26/000075,INV/2025-26/000088,2000,11-10-2025,BANK_TRANSFER,
RCP/2025-26/000076,INV/2025-26/000089,2000,25-11-2025,CHEQUE,
RCP/2025-26/000077,INV/2025-26/000091,2000,11-01-2026,CHEQUE,
RCP/2025-26/000078,INV/2025-26/000092,2000,15-02-2026,CASH,
RCP/2025-26/000079,INV/2025-26/000093,2000,17-03-2026,ONLINE,
RCP/2025-26/000080,INV/2025-26/000094,5000,29-07-2025,CHEQUE,
RCP/2025-26/000081,INV/2025-26/000095,500,24-07-2025,ONLINE,
RCP/2025-26/000082,INV/2025-26/000096,1000,01-08-2025,BANK_TRANSFER,
RCP/2025-26/000083,INV/2025-26/000097,250,01-08-2025,UPI,
RCP/2025-26/000084,INV/2025-26/000098,250,20-01-2026,BANK_TRANSFER,
RCP/2025-26/000085,INV/2025-26/000099,2000,12-07-2025,CASH,
RCP/2025-26/000086,INV/2025-26/000100,2000,13-08-2025,CASH,
RCP/2025-26/000087,INV/2025-26/000101,2000,18-09-2025,UPI,
RCP/2025-26/000088,INV/2025-26/000105,2000,15-01-2026,ONLINE,
RCP/2025-26/000089,INV/2025-26/000106,2000,19-02-2026,CHEQUE,
RCP/2025-26/000090,INV/2025-26/000108,5000,22-07-2025,CHEQUE,
RCP/2025-26/000091,INV/2025-26/000109,500,25-07-2025,UPI,
RCP/2025-26/000092,INV/2025-26/000110,1000,25-07-2025,CHEQUE,
RCP/2025-26/000093,INV/2025-26/000111,250,31-07-2025,CHEQUE,
RCP/2025-26/000094,INV/2025-26/000112,250,26-01-2026,UPI,
RCP/2025-26/000095,INV/2025-26/000113,2000,18-07-2025,CHEQUE,
