admission_number,date,status,remarks
1,10-07-2025,LATE,
1,11-07-2025,PRESENT,
1,31-07-2025,PRESENT,
1,02-08-2025,HALF_DAY,
1,05-08-2025,PRESENT,
1,14-08-2025,PRESENT,
1,23-08-2025,PRESENT,
1,09-09-2025,PRESENT,
1,16-09-2025,LEAVE,Family event
1,02-10-2025,LATE,
1,06-10-2025,PRESENT,
1,21-10-2025,PRESENT,
1,31-10-2025,PRESENT,
1,05-11-2025,ABSENT,Medical leave
1,18-11-2025,LATE,
1,26-11-2025,ABSENT,Sick
1,01-12-2025,ABSENT,Sick
1,11-12-2025,PRESENT,
1,19-12-2025,ABSENT,Not informed
1,15-01-2026,PRESENT,
1,22-01-2026,PRESENT,
1,29-01-2026,PRESENT,
1,30-01-2026,PRESENT,
1,10-02-2026,HALF_DAY,
1,16-02-2026,PRESENT,
1,02-03-2026,ABSENT,
1,05-03-2026,PRESENT,
1,09-03-2026,PRESENT,
1,19-03-2026,PRESENT,
1,28-03-2026,ABSENT,Sick
2,18-07-2025,PRESENT,
2,22-07-2025,ABSENT,Medical leave
2,23-07-2025,LATE,
2,26-07-2025,HALF_DAY,
2,08-08-2025,PRESENT,
2,16-08-2025,ABSENT,Family event
2,27-08-2025,HALF_DAY,
2,05-09-2025,HALF_DAY,
2,16-09-2025,HALF_DAY,
2,14-10-2025,PRESENT,
2,23-10-2025,PRESENT,
2,29-10-2025,PRESENT,
2,22-11-2025,PRESENT,
2,06-12-2025,PRESENT,
2,15-12-2025,ABSENT,Medical leave
2,20-12-2025,PRESENT,
2,07-01-2026,PRESENT,
2,15-01-2026,PRESENT,
2,23-01-2026,PRESENT,
2,02-02-2026,PRESENT,
2,03-02-2026,PRESENT,
2,11-02-2026,PRESENT,
2,23-02-2026,PRESENT,
2,09-03-2026,PRESENT,
2,13-03-2026,PRESENT,
2,18-03-2026,PRESENT,
2,23-03-2026,LATE,
2,26-03-2026,PRESENT,
2,28-03-2026,ABSENT,
2,31-03-2026,PRESENT,
3,12-07-2025,ABSENT,
3,25-07-2025,PRESENT,
3,29-07-2025,PRESENT,
3,30-07-2025,PRESENT,
3,01-08-2025,PRESENT,
3,07-08-2025,PRESENT,
3,08-08-2025,LATE,
3,19-08-2025,ABSENT,Sick
3,20-08-2025,PRESENT,
3,25-08-2025,PRESENT,
3,28-08-2025,PRESENT,
3,01-09-2025,PRESENT,
3,05-09-2025,PRESENT,
3,26-09-2025,PRESENT,
3,30-09-2025,ABSENT,Not informed
3,02-10-2025,PRESENT,
3,24-10-2025,PRESENT,
3,31-10-2025,PRESENT,
3,07-11-2025,ABSENT,Not informed
3,18-11-2025,PRESENT,
3,20-11-2025,PRESENT,
3,02-12-2025,ABSENT,
3,09-12-2025,PRESENT,
3,07-01-2026,PRESENT,
3,09-01-2026,PRESENT,
3,23-01-2026,PRESENT,
3,29-01-2026,PRESENT,
3,30-01-2026,PRESENT,
3,02-03-2026,PRESENT,
3,05-03-2026,PRESENT,
4,18-07-2025,PRESENT,
4,21-07-2025,PRESENT,
4,09-08-2025,PRESENT,
4,19-08-2025,PRESENT,
4,21-08-2025,PRESENT,
4,23-08-2025,PRESENT,
4,25-08-2025,PRESENT,
4,27-08-2025,PRESENT,
4,29-08-2025,PRESENT,
4,12-09-2025,LATE,
4,15-09-2025,PRESENT,
4,22-09-2025,ABSENT,Not informed
4,29-09-2025,PRESENT,
4,30-09-2025,PRESENT,
4,20-10-2025,PRESENT,
4,25-10-2025,PRESENT,
4,19-11-2025,PRESENT,
4,27-11-2025,PRESENT,
4,13-12-2025,PRESENT,
4,07-01-2026,PRESENT,
4,21-01-2026,PRESENT,
4,29-01-2026,PRESENT,
4,03-02-2026,PRESENT,
4,04-02-2026,PRESENT,
4,21-02-2026,LEAVE,Family event
4,27-02-2026,PRESENT,
4,28-02-2026,PRESENT,
4,13-03-2026,PRESENT,
4,16-03-2026,PRESENT,
4,25-03-2026,LATE,
5,14-07-2025,PRESENT,
5,18-07-2025,PRESENT,
5,08-08-2025,PRESENT,
5,09-08-2025,PRESENT,
