admission_number,exam_name,subject_code,max_marks,marks_obtained,grade,exam_date,academic_year
1,Unit Test 1,MATHNursery,100,32.8,F,25-08-2025,2025-26
1,Unit Test 1,URDNursery,100,83.6,A,25-08-2025,2025-26
1,Unit Test 1,HINNursery,100,78.1,B+,25-08-2025,2025-26
1,Unit Test 1,ENGNursery,100,67.1,B,25-08-2025,2025-26
1,Unit Test 1,ARTNursery,50,45.9,A+,25-08-2025,2025-26
1,Unit Test 1,EVSNursery,100,53.2,C,25-08-2025,2025-26
1,Midterm,ENGNursery,100,33.8,F,15-10-2025,2025-26
1,Midterm,URDNursery,100,82.3,A,15-10-2025,2025-26
1,Midterm,ARTNursery,50,34.0,B,15-10-2025,2025-26
1,Midterm,EVSNursery,100,75.4,B+,15-10-2025,2025-26
1,Midterm,HINNursery,100,92.8,A+,15-10-2025,2025-26
1,Midterm,MATHNursery,100,56.6,C,15-10-2025,2025-26
1,Unit Test 2,ARTNursery,50,39.3,B+,15-12-2025,2025-26
1,Unit Test 2,ENGNursery,100,64.2,B,15-12-2025,2025-26
1,Unit Test 2,EVSNursery,100,95.5,A+,15-12-2025,2025-26
1,Unit Test 2,HINNursery,100,86.0,A,15-12-2025,2025-26
1,Unit Test 2,MATHNursery,100,72.1,B+,15-12-2025,2025-26
1,Unit Test 2,URDNursery,100,83.3,A,15-12-2025,2025-26
1,Final,MATHNursery,100,26.8,F,10-03-2026,2025-26
1,Final,URDNursery,100,95.9,A+,10-03-2026,2025-26
1,Final,ARTNursery,50,27.5,C,10-03-2026,2025-26
2,Unit Test 1,ENGNursery,100,98.0,A+,25-08-2025,2025-26
2,Unit Test 1,HINNursery,100,43.7,D,25-08-2025,2025-26
2,Unit Test 1,EVSNursery,100,58.5,C,25-08-2025,2025-26
2,Unit Test 1,MATHNursery,100,28.6,F,25-08-2025,2025-26
2,Unit Test 1,URDNursery,100,59.4,C,25-08-2025,2025-26
2,Unit Test 1,ARTNursery,50,49.8,A+,25-08-2025,2025-26
2,Midterm,MATHNursery,100,81.5,A,15-10-2025,2025-26
2,Midterm,ARTNursery,50,44.5,A,15-10-2025,2025-26
2,Midterm,EVSNursery,100,37.9,F,15-10-2025,2025-26
2,Midterm,HINNursery,100,62.5,B,15-10-2025,2025-26
2,Midterm,URDNursery,100,31.7,F,15-10-2025,2025-26
2,Unit Test 2,URDNursery,100,32.6,F,15-12-2025,2025-26
2,Unit Test 2,ARTNursery,50,43.0,A,15-12-2025,2025-26
2,Unit Test 2,MATHNursery,100,73.0,B+,15-12-2025,2025-26
2,Unit Test 2,HINNursery,100,48.5,D,15-12-2025,2025-26
2,Unit Test 2,EVSNursery,100,62.3,B,15-12-2025,2025-26
2,Final,HINNursery,100,61.4,B,10-03-2026,2025-26
2,Final,MATHNursery,100,50.3,C,10-03-2026,2025-26
2,Final,EVSNursery,100,57.8,C,10-03-2026,2025-26
2,Final,ARTNursery,50,34.0,B,10-03-2026,2025-26
3,Unit Test 1,MATHNursery,100,39.2,F,25-08-2025,2025-26
3,Unit Test 1,EVSNursery,100,48.3,D,25-08-2025,2025-26
3,Unit Test 1,ENGNursery,100,63.0,B,25-08-2025,2025-26
3,Unit Test 1,HINNursery,100,73.2,B+,25-08-2025,2025-26
3,Midterm,URDNursery,100,39.9,F,15-10-2025,2025-26
3,Midterm,ARTNursery,50,27.3,C,15-10-2025,2025-26
3,Midterm,MATHNursery,100,69.8,B,15-10-2025,2025-26
3,Midterm,HINNursery,100,90.8,A+,15-10-2025,2025-26
3,Midterm,ENGNursery,100,55.3,C,15-10-2025,2025-26
3,Unit Test 2,MATHNursery,100,94.1,A+,15-12-2025,2025-26
3,Unit Test 2,EVSNursery,100,32.8,F,15-12-2025,2025-26
3,Unit Test 2,URDNursery,100,96.7,A+,15-12-2025,2025-26
3,Unit Test 2,ARTNursery,50,45.4,A+,15-12-2025,2025-26
3,Unit Test 2,ENGNursery,100,91.6,A+,15-12-2025,2025-26
3,Final,URDNursery,100,58.2,C,10-03-2026,2025-26
3,Final,ARTNursery,50,26.0,C,10-03-2026,2025-26
3,Final,ENGNursery,100,66.1,B,10-03-2026,2025-26
3,Final,MATHNursery,100,75.1,B+,10-03-2026,2025-26
3,Final,HINNursery,100,45.5,D,10-03-2026,2025-26
4,Unit Test 1,MATHNursery,100,35.9,F,25-08-2025,2025-26
4,Unit Test 1,ARTNursery,50,32.4,B,25-08-2025,2025-26
4,Unit Test 1,URDNursery,100,97.3,A+,25-08-2025,2025-26
4,Unit Test 1,ENGNursery,100,89.3,A,25-08-2025,2025-26
4,Unit Test 1,HINNursery,100,61.2,B,25-08-2025,2025-26
4,Unit Test 1,EVSNursery,100,57.9,C,25-08-2025,2025-26
4,Midterm,HINNursery,100,68.2,B,15-10-2025,2025-26
4,Midterm,MATHNursery,100,92.7,A+,15-10-2025,2025-26
4,Midterm,ARTNursery,50,34.7,B,15-10-2025,2025-26
4,Midterm,EVSNursery,100,44.6,D,15-10-2025,2025-26
4,Unit Test 2,EVSNursery,100,49.0,D,15-12-2025,2025-26
4,Unit Test 2,HINNursery,100,51.8,C,15-12-2025,2025-26
4,Unit Test 2,ARTNursery,50,49.0,A+,15-12-2025,2025-26
4,Unit Test 2,MATHNursery,100,35.1,F,15-12-2025,2025-26
4,Unit Test 2,ENGNursery,100,89.5,A,15-12-2025,2025-26
4,Final,URDNursery,100,98.6,A+,10-03-2026,2025-26
4,Final,ARTNursery,50,44.6,A,10-03-2026,2025-26
4,Final,MATHNursery,100,63.1,B,10-03-2026,2025-26
4,Final,ENGNursery,100,60.7,B,10-03-2026,2025-26
5,Unit Test 1,ENGNursery,100,78.8,B+,25-08-2025,2025-26
5,Unit Test 1,URDNursery,100,73.4,B+,25-08-2025,2025-26
5,Unit Test 1,MATHNursery,100,66.6,B,25-08-2025,2025-26
5,Unit Test 1,EVSNursery,100,98.9,A+,25-08-2025,2025-26
5,Unit Test 1,HINNursery,100,59.9,C,25-08-2025,2025-26
5,Midterm,HINNursery,100,62.3,B,15-10-2025,2025-26
5,Midterm,URDNursery,100,57.7,C,15-10-2025,2025-26
5,Midterm,ARTNursery,50,48.8,A+,15-10-2025,2025-26
5,Unit Test 2,ENGNursery,100,73.8,B+,15-12-2025,2025-26
5,Unit Test 2,URDNursery,100,92.2,A+,15-12-2025,2025-26
5,Unit Test 2,HINNursery,100,60.7,B,15-12-2025,2025-26
5,Unit Test 2,EVSNursery,100,78.0,B+,15-12-2025,2025-26
5,Final,ARTNursery,50,48.9,A+,10-03-2026,2025-26
5,Final,EVSNursery,100,45.7,D,10-03-2026,2025-26
5,Final,ENGNursery,100,43.9,D,10-03-2026,2025-26
6,Unit Test 1,ARTNursery,50,35.8,B+,25-08-2025,2025-26
6,Unit Test 1,URDNursery,100,82.3,A,25-08-2025,2025-26
6,Unit Test 1,HINNursery,100,35.0,F,25-08-2025,2025-26
6,Midterm,MATHNursery,100,42.4,D,15-10-2025,2025-26
6,Midterm,HINNursery,100,84.9,A,15-10-2025,2025-26
6,Midterm,EVSNursery,100,63.1,B,15-10-2025,2025-26
6,Midterm,URDNursery,100,55.5,C,15-10-2025,2025-26
6,Midterm,ARTNursery,50,44.2,A,15-10-2025,2025-26
6,Midterm,ENGNursery,100,98.5,A+,15-10-2025,2025-26
6,Unit Test 2,ENGNursery,100,69.1,B,15-12-2025,2025-26
6,Unit Test 2,URDNursery,100,83.1,A,15-12-2025,2025-26
6,Unit Test 2,ARTNursery,50,26.8,C,15-12-2025,2025-26
6,Unit Test 2,EVSNursery,100,29.8,F,15-12-2025,2025-26
6,Unit Test 2,MATHNursery,100,56.0,C,15-12-2025,2025-26
6,Final,ARTNursery,50,44.3,A,10-03-2026,2025-26
6,Final,MATHNursery,100,99.2,A+,10-03-2026,2025-26
6,Final,URDNursery,100,87.7,A,10-03-2026,2025-26
6,Final,EVSNursery,100,27.2,F,10-03-2026,2025-26
7,Unit Test 1,ARTNursery,50,39.4,B+,25-08-2025,2025-26
7,Unit Test 1,ENGNursery,100,96.2,A+,25-08-2025,2025-26
7,Unit Test 1,EVSNursery,100,54.1,C,25-08-2025,2025-26
7,Unit Test 1,URDNursery,100,55.6,C,25-08-2025,2025-26
7,Unit Test 1,HINNursery,100,77.2,B+,25-08-2025,2025-26
7,Unit Test 1,MATHNursery,100,35.4,F,25-08-2025,2025-26
7,Midterm,MATHNursery,100,78.0,B+,15-10-2025,2025-26
7,Midterm,ENGNursery,100,90.9,A+,15-10-2025,2025-26
7,Midterm,EVSNursery,100,62.5,B,15-10-2025,2025-26
7,Midterm,ARTNursery,50,29.6,C,15-10-2025,2025-26
7,Midterm,URDNursery,100,55.1,C,15-10-2025,2025-26
7,Unit Test 2,EVSNursery,100,81.4,A,15-12-2025,2025-26
7,Unit Test 2,ENGNursery,100,64.3,B,15-12-2025,2025-26
7,Unit Test 2,ARTNursery,50,25.5,C,15-12-2025,2025-26
7,Unit Test 2,MATHNursery,100,70.5,B+,15-12-2025,2025-26
7,Final,ARTNursery,50,29.2,C,10-03-2026,2025-26
7,Final,EVSNursery,100,97.3,A+,10-03-2026,2025-26
7,Final,ENGNursery,100,64.7,B,10-03-2026,2025-26
8,Unit Test 1,EVSNursery,100,27.1,F,25-08-2025,2025-26
8,Unit Test 1,HINNursery,100,92.9,A+,25-08-2025,2025-26
8,Unit Test 1,ARTNursery,50,39.1,B+,25-08-2025,2025-26
8,Midterm,MATHNursery,100,38.6,F,15-10-2025,2025-26
8,Midterm,ARTNursery,50,30.5,B,15-10-2025,2025-26
8,Midterm,HINNursery,100,50.9,C,15-10-2025,2025-26
8,Unit Test 2,URDNursery,100,78.0,B+,15-12-2025,2025-26
8,Unit Test 2,EVSNursery,100,91.0,A+,15-12-2025,2025-26
8,Unit Test 2,MATHNursery,100,38.3,F,15-12-2025,2025-26
8,Unit Test 2,HINNursery,100,36.2,F,15-12-2025,2025-26
8,Final,ENGNursery,100,95.1,A+,10-03-2026,2025-26
8,Final,URDNursery,100,33.1,F,10-03-2026,2025-26
8,Final,ARTNursery,50,42.1,A,10-03-2026,2025-26
8,Final,EVSNursery,100,69.3,B,10-03-2026,2025-26
8,Final,HINNursery,100,37.6,F,10-03-2026,2025-26
8,Final,MATHNursery,100,32.5,F,10-03-2026,2025-26
9,Unit Test 1,URDNursery,100,94.6,A+,25-08-2025,2025-26
9,Unit Test 1,MATHNursery,100,66.1,B,25-08-2025,2025-26
9,Unit Test 1,EVSNursery,100,54.2,C,25-08-2025,2025-26
9,Unit Test 1,ARTNursery,50,36.2,B+,25-08-2025,2025-26
9,Midterm,ARTNursery,50,33.5,B,15-10-2025,2025-26
9,Midterm,URDNursery,100,52.4,C,15-10-2025,2025-26
9,Midterm,ENGNursery,100,43.0,D,15-10-2025,2025-26
9,Unit Test 2,MATHNursery,100,85.8,A,15-12-2025,2025-26
9,Unit Test 2,HINNursery,100,93.2,A+,15-12-2025,2025-26
9,Unit Test 2,ENGNursery,100,78.1,B+,15-12-2025,2025-26
9,Unit Test 2,ARTNursery,50,46.0,A+,15-12-2025,2025-26
9,Unit Test 2,URDNursery,100,32.4,F,15-12-2025,2025-26
9,Unit Test 2,EVSNursery,100,64.0,B,15-12-2025,2025-26
9,Final,URDNursery,100,46.2,D,10-03-2026,2025-26
9,Final,ARTNursery,50,28.4,C,10-03-2026,2025-26
9,Final,HINNursery,100,82.3,A,10-03-2026,2025-26
9,Final,EVSNursery,100,47.0,D,10-03-2026,2025-26
9,Final,ENGNursery,100,72.0,B+,10-03-2026,2025-26
10,Unit Test 1,HINNursery,100,32.8,F,25-08-2025,2025-26
10,Unit Test 1,ARTNursery,50,39.0,B+,25-08-2025,2025-26
10,Unit Test 1,ENGNursery,100,70.7,B+,25-08-2025,2025-26
10,Unit Test 1,MATHNursery,100,47.9,D,25-08-2025,2025-26
10,Unit Test 1,URDNursery,100,99.4,A+,25-08-2025,2025-26
10,Unit Test 1,EVSNursery,100,82.8,A,25-08-2025,2025-26
10,Midterm,URDNursery,100,96.0,A+,15-10-2025,2025-26
10,Midterm,ENGNursery,100,48.0,D,15-10-2025,2025-26
10,Midterm,MATHNursery,100,69.1,B,15-10-2025,2025-26
10,Unit Test 2,ARTNursery,50,25.7,C,15-12-2025,2025-26
10,Unit Test 2,EVSNursery,100,97.5,A+,15-12-2025,2025-26
10,Unit Test 2,ENGNursery,100,53.9,C,15-12-2025,2025-26
10,Unit Test 2,URDNursery,100,51.4,C,15-12-2025,2025-26
10,Final,ARTNursery,50,37.7,B+,10-03-2026,2025-26
10,Final,HINNursery,100,76.1,B+,10-03-2026,2025-26
10,Final,MATHNursery,100,28.4,F,10-03-2026,2025-26
11,Unit Test 1,ENGNursery,100,78.4,B+,25-08-2025,2025-26
11,Unit Test 1,HINNursery,100,30.5,F,25-08-2025,2025-26
11,Unit Test 1,MATHNursery,100,40.3,D,25-08-2025,2025-26
11,Unit Test 1,ARTNursery,50,30.2,B,25-08-2025,2025-26
11,Midterm,ENGNursery,100,92.5,A+,15-10-2025,2025-26
11,Midterm,HINNursery,100,33.7,F,15-10-2025,2025-26
11,Midterm,MATHNursery,100,46.8,D,15-10-2025,2025-26
11,Unit Test 2,ARTNursery,50,45.7,A+,15-12-2025,2025-26
11,Unit Test 2,EVSNursery,100,52.9,C,15-12-2025,2025-26
11,Unit Test 2,MATHNursery,100,87.8,A,15-12-2025,2025-26
11,Unit Test 2,HINNursery,100,28.4,F,15-12-2025,2025-26
11,Final,URDNursery,100,76.0,B+,10-03-2026,2025-26
11,Final,MATHNursery,100,78.3,B+,10-03-2026,2025-26
11,Final,EVSNursery,100,92.7,A+,10-03-2026,2025-26
11,Final,ARTNursery,50,32.7,B,10-03-2026,2025-26
12,Unit Test 1,HINNursery,100,45.9,D,25-08-2025,2025-26
12,Unit Test 1,ENGNursery,100,92.6,A+,25-08-2025,2025-26
12,Unit Test 1,ARTNursery,50,45.4,A+,25-08-2025,2025-26
12,Unit Test 1,MATHNursery,100,61.6,B,25-08-2025,2025-26
12,Unit Test 1,EVSNursery,100,70.0,B+,25-08-2025,2025-26
12,Midterm,ENGNursery,100,72.8,B+,15-10-2025,2025-26
12,Midterm,HINNursery,100,33.6,F,15-10-2025,2025-26
12,Midterm,MATHNursery,100,92.7,A+,15-10-2025,2025-26
12,Midterm,EVSNursery,100,61.6,B,15-10-2025,2025-26
12,Midterm,ARTNursery,50,29.6,C,15-10-2025,2025-26
12,Midterm,URDNursery,100,49.6,D,15-10-2025,2025-26
12,Unit Test 2,ARTNursery,50,32.1,B,15-12-2025,2025-26
12,Unit Test 2,HINNursery,100,67.8,B,15-12-2025,2025-26
12,Unit Test 2,EVSNursery,100,33.1,F,15-12-2025,2025-26
12,Unit Test 2,URDNursery,100,34.0,F,15-12-2025,2025-26
12,Unit Test 2,MATHNursery,100,86.7,A,15-12-2025,2025-26
12,Final,ENGNursery,100,34.5,F,10-03-2026,2025-26
12,Final,URDNursery,100,99.7,A+,10-03-2026,2025-26
